,Chromothripsis
chr11.122,10
chr11.123,14
chr11.124,5
chr11.125,12
chr11.126,5
chr11.127,9
chr11.128,17
chr11.129,4
chr11.130,10
chr11.131,21
chr12.2,0
chr12.3,2
chr12.4,0
chr12.5,4
chr12.6,6
chr12.7,2
chr12.11,7
chr12.12,2
chr12.13,2
chr12.14,6
chr12.15,6
chr12.16,0
chr12.17,3
chr12.18,9
chr12.19,3
chr12.20,4
chr12.21,4
chr12.22,4
chr12.23,1
chr12.24,3
chr12.25,0
chr12.26,5
chr12.27,3
chr12.28,2
chr12.29,5
chr12.30,6
chr12.31,3
chr12.34,0
chr12.36,4
chr12.37,10
chr12.38,5
chr12.39,5
chr12.40,8
chr12.41,3
chr12.42,10
chr12.43,1
chr12.44,4
chr12.45,3
chr12.47,3
chr12.49,1
chr12.50,5
chr12.51,1
chr12.55,3
chr12.56,4
chr12.57,3
chr12.58,5
chr12.59,3
chr12.60,5
chr12.62,5
chr12.63,6
chr12.64,0
chr12.65,3
chr12.66,3
chr12.67,5
chr12.68,8
chr12.69,2
chr12.70,6
chr12.71,8
chr12.72,3
chr12.73,2
chr12.74,3
chr12.75,6
chr12.76,1
chr12.77,2
chr12.78,4
chr12.79,7
chr12.80,0
chr12.81,3
chr12.82,3
chr12.83,7
chr12.84,5
chr12.85,3
chr12.86,4
chr12.87,3
chr12.88,3
chr12.89,4
chr12.90,5
chr12.91,1
chr12.92,1
chr12.93,6
chr12.94,5
chr12.95,1
chr12.96,2
chr12.97,2
chr12.98,5
chr12.99,4
chr12.100,2
chr12.101,6
chr12.102,3
chr12.103,0
chr12.104,4
chr12.105,7
chr12.107,1
chr12.108,1
chr12.110,2
chr12.111,4
chr12.112,7
chr12.113,1
chr12.114,5
chr12.115,3
chr12.116,1
chr12.117,4
chr12.121,0
chr12.122,8
chr12.123,3
chr12.124,1
chr12.125,3
chr12.126,0
chr12.127,4
chr12.128,4
chr13.18,0
chr13.19,0
chr13.20,0
chr13.21,2
chr13.23,2
chr13.24,1
chr13.25,1
chr13.26,1
chr13.27,2
chr13.28,5
chr13.29,1
chr13.30,1
chr13.31,0
chr13.32,2
chr13.33,0
chr13.34,1
chr13.35,3
chr13.36,1
chr13.37,0
chr13.39,2
chr13.40,2
chr13.41,1
chr13.42,1
chr13.43,1
chr13.44,0
chr13.45,3
chr13.46,1
chr13.47,1
chr13.48,1
chr13.51,4
chr13.52,4
chr13.53,3
chr13.54,4
chr13.55,3
chr13.56,4
chr13.57,2
chr13.58,2
chr13.59,3
chr13.60,4
chr13.62,1
chr13.63,2
chr13.64,6
chr13.65,2
chr13.66,6
chr13.67,7
chr13.68,2
chr13.69,2
chr13.70,2
chr13.71,3
chr13.72,2
chr13.73,2
chr13.74,5
chr13.75,1
chr13.76,5
chr13.77,5
chr13.78,3
chr13.79,6
chr13.80,7
chr13.81,3
chr13.82,1
chr13.84,3
chr13.85,5
chr13.86,1
chr13.87,9
chr13.88,3
chr13.89,3
chr13.90,3
chr13.92,0
chr13.93,2
chr13.94,0
chr13.95,6
chr13.96,0
chr13.97,3
chr13.98,0
chr13.99,3
chr13.100,3
chr13.101,3
chr13.102,3
chr13.103,8
chr13.104,2
chr13.105,3
chr13.106,1
chr13.107,4
chr13.108,0
chr13.110,1
chr14.18,4
chr14.19,8
chr14.22,9
chr14.23,6
chr14.24,3
chr14.25,6
chr14.26,4
chr14.27,4
chr14.28,3
chr14.29,3
chr14.30,2
chr14.31,0
chr14.33,3
chr14.34,2
chr14.35,4
chr14.37,4
chr14.38,6
chr14.39,8
chr14.40,5
chr14.41,3
chr14.43,12
chr14.44,6
chr14.45,7
chr14.46,3
chr14.47,3
chr14.48,5
chr14.49,2
chr14.50,2
chr14.51,4
chr14.52,6
chr14.53,4
chr14.54,4
chr14.55,7
chr14.56,2
chr14.57,4
chr14.58,5
chr14.59,5
chr14.60,3
chr14.61,1
chr14.62,2
chr14.63,1
chr14.64,2
chr14.65,3
chr14.66,0
chr14.67,0
chr14.68,3
chr14.69,4
chr14.70,4
chr14.72,2
chr14.73,3
chr14.74,1
chr14.75,1
chr14.77,2
chr14.78,1
chr14.79,5
chr14.80,3
chr14.81,6
chr14.82,4
chr14.83,0
chr14.84,5
chr14.85,2
chr14.86,2
chr14.87,1
chr14.88,3
chr14.89,5
chr14.90,1
chr14.91,3
chr14.92,9
chr14.93,3
chr14.94,4
chr14.95,6
chr14.96,4
chr14.97,2
chr14.98,4
chr14.99,3
chr14.100,6
chr14.101,1
chr14.102,1
chr15.22,7
chr15.23,6
chr15.24,10
chr15.30,6
chr15.32,2
chr15.33,2
chr15.34,1
chr15.35,8
chr15.36,7
chr15.37,5
chr15.39,3
chr15.43,4
chr15.44,2
chr15.45,7
chr15.46,3
chr15.47,0
chr15.48,1
chr15.49,3
chr15.50,3
chr15.51,2
chr15.53,3
chr15.54,2
chr15.55,1
chr15.56,0
chr15.57,3
chr15.58,2
chr15.59,1
chr15.60,1
chr15.61,0
chr15.62,4
chr15.63,2
chr15.64,2
chr15.65,4
chr15.66,4
chr15.67,2
chr15.68,1
chr15.70,2
chr15.73,3
chr15.74,4
chr15.75,1
chr15.76,3
chr15.77,3
chr15.78,4
chr15.83,0
chr15.84,9
chr15.85,10
chr15.86,5
chr15.88,1
chr15.89,1
chr15.90,2
chr15.91,5
chr15.92,7
chr15.93,15
chr15.94,13
chr15.95,10
chr15.96,3
chr15.97,4
chr15.98,4
chr16.2,4
chr16.4,5
chr16.5,1
chr16.6,9
chr16.8,12
chr16.10,4
chr16.11,2
chr16.12,4
chr16.13,0
chr16.14,6
chr16.18,6
chr16.20,2
chr16.24,1
chr16.25,1
chr16.26,4
chr16.27,9
chr16.28,3
chr16.45,7
chr16.46,18
chr16.47,9
chr16.48,14
chr16.49,6
chr16.50,4
chr16.51,2
chr16.52,4
chr16.53,0
chr16.54,1
chr16.55,4
chr16.56,2
chr16.57,12
chr16.58,9
chr16.59,10
chr16.60,7
chr16.61,11
chr16.62,15
chr16.63,7
chr16.64,5
chr16.69,3
chr16.70,1
chr16.71,2
chr16.73,4
chr16.74,1
chr16.75,3
chr16.76,3
chr16.77,3
chr16.78,5
chr16.79,2
chr16.80,5
chr16.81,6
chr16.82,1
chr16.83,8
chr16.84,2
chr17.6,4
chr17.7,3
chr17.9,3
chr17.11,7
chr17.12,7
chr17.13,11
chr17.14,2
chr17.15,4
chr17.18,2
chr17.24,0
chr17.25,0
chr17.29,6
chr17.30,9
chr17.31,5
chr17.33,2
chr17.36,4
chr17.37,0
chr17.44,2
chr17.45,2
chr17.46,1
chr17.47,4
chr17.48,8
chr17.49,13
chr17.50,8
chr17.51,3
chr17.52,1
chr17.53,3
chr17.54,1
chr17.57,3
chr17.59,1
chr17.61,7
chr17.62,4
chr17.64,1
chr17.65,2
chr17.66,1
chr17.67,3
chr17.68,0
chr17.69,4
chr17.70,3
chr17.73,4
chr17.74,3
chr17.76,4
chr18.2,5
chr18.3,6
chr18.4,2
chr18.5,10
chr18.6,3
chr18.7,8
chr18.8,13
chr18.9,12
chr18.10,2
chr18.11,3
chr18.12,1
chr18.14,3
chr18.17,3
chr18.18,3
chr18.19,4
chr18.20,13
chr18.21,10
chr18.22,2
chr18.23,7
chr18.24,8
chr18.25,8
chr18.26,2
chr18.27,2
chr18.28,3
chr18.29,3
chr18.30,3
chr18.31,3
chr18.32,1
chr18.33,3
chr18.34,3
chr18.35,6
chr18.36,3
chr18.37,1
chr18.38,3
chr18.39,7
chr18.40,2
chr18.41,1
chr18.42,4
chr18.43,6
chr18.44,3
chr18.45,3
chr18.46,2
chr18.47,5
chr18.48,6
chr18.50,5
chr18.51,4
chr18.52,2
chr18.53,2
chr18.54,3
chr18.55,8
chr18.56,7
chr18.57,4
chr18.58,3
chr18.59,2
chr18.60,2
chr18.61,8
chr18.62,20
chr18.63,6
chr18.64,3
chr18.65,5
chr18.66,3
chr18.67,7
chr18.68,5
chr18.69,0
chr18.70,3
chr18.71,2
chr18.72,6
chr18.73,8
chr18.74,10
chr19.26,24
chr19.27,9
chr19.28,22
chr19.29,14
chr19.31,9
chr19.32,4
chr19.39,7
chr19.48,5
chr19.49,2
chr19.54,3
chr2.2,4
chr2.3,1
chr2.5,3
chr2.7,4
chr2.8,4
chr2.9,0
chr2.10,5
chr2.11,4
chr2.12,2
chr2.13,2
chr2.14,5
chr2.15,5
chr2.16,7
chr2.18,3
chr2.19,4
chr2.20,2
chr2.21,5
chr2.22,1
chr2.23,6
chr2.24,3
chr2.25,1
chr2.26,2
chr2.27,3
chr2.28,3
chr2.29,3
chr2.30,5
chr2.31,2
chr2.32,2
chr2.34,4
chr2.35,16
chr2.36,19
chr2.37,10
chr2.38,1
chr2.39,0
chr2.40,1
chr2.41,3
chr2.42,2
chr2.43,1
chr2.44,3
chr2.45,1
chr2.46,1
chr2.47,1
chr2.48,2
chr2.49,1
chr2.50,7
chr2.51,1
chr2.52,3
chr2.53,4
chr2.54,0
chr2.55,6
chr2.56,2
chr2.57,5
chr2.58,3
chr2.59,2
chr2.60,0
chr2.61,3
chr2.62,1
chr2.63,4
chr2.64,2
chr2.65,4
chr2.66,1
chr2.67,3
chr2.68,0
chr2.69,3
chr2.70,0
chr2.71,1
chr2.72,4
chr2.73,2
chr2.74,3
chr2.75,6
chr2.76,3
chr2.77,15
chr2.78,13
chr2.79,10
chr2.80,9
chr2.81,6
chr2.82,6
chr2.83,4
chr2.84,3
chr2.85,4
chr2.86,2
chr2.87,1
chr2.96,1
chr2.97,1
chr2.98,0
chr2.99,3
chr2.100,6
chr2.101,6
chr2.102,12
chr2.103,7
chr2.105,5
chr2.114,4
chr2.115,8
chr2.116,8
chr2.117,9
chr2.118,2
chr2.119,8
chr2.120,2
chr2.121,9
chr2.122,3
chr2.123,5
chr2.124,9
chr2.125,5
chr2.126,3
chr2.127,9
chr2.131,3
chr2.132,5
chr2.134,5
chr2.135,12
chr2.136,7
chr2.137,5
chr2.138,4
chr2.140,2
chr2.141,9
chr2.142,3
chr2.143,3
chr2.144,4
chr2.145,2
chr2.146,2
chr2.148,5
chr2.149,3
chr2.151,2
chr2.152,7
chr2.153,3
chr2.154,3
chr2.155,2
chr2.156,1
chr2.157,2
chr2.158,4
chr2.159,9
chr2.160,5
chr2.161,2
chr2.162,3
chr2.163,0
chr2.164,1
chr2.165,5
chr2.166,5
chr2.167,4
chr2.168,3
chr2.169,3
chr2.170,3
chr2.171,4
chr2.172,1
chr2.173,5
chr2.174,8
chr2.175,1
chr2.176,4
chr2.177,4
chr2.178,6
chr2.179,2
chr2.180,5
chr2.181,4
chr2.182,2
chr2.183,5
chr2.184,6
chr2.185,1
chr2.186,4
chr2.187,2
chr2.188,1
chr2.189,2
chr2.190,7
chr2.191,4
chr2.192,4
chr2.193,9
chr2.194,7
chr2.195,4
chr2.196,1
chr2.197,7
chr2.198,4
chr2.200,2
chr2.202,3
chr2.203,3
chr2.204,2
chr2.205,3
chr2.206,4
chr2.208,2
chr2.209,2
chr2.211,3
chr2.213,2
chr2.214,2
chr2.215,2
chr2.216,1
chr2.217,1
chr2.218,1
chr2.219,2
chr2.220,2
chr2.221,3
chr2.222,2
chr2.223,2
chr2.224,5
chr2.225,3
chr2.226,1
chr2.227,2
chr2.228,2
chr2.229,4
chr2.232,0
chr2.233,3
chr2.234,1
chr2.235,0
chr2.236,2
chr2.237,0
chr2.238,3
chr2.239,4
chr20.2,3
chr20.3,1
chr20.5,10
chr20.6,2
chr20.7,4
chr20.8,1
chr20.9,6
chr20.10,2
chr20.11,3
chr20.12,4
chr20.13,1
chr20.14,2
chr20.17,5
chr20.18,2
chr20.19,2
chr20.20,3
chr20.21,2
chr20.22,5
chr20.23,2
chr20.24,5
chr20.25,9
chr20.28,2
chr20.29,3
chr20.33,2
chr20.34,3
chr20.35,5
chr20.36,3
chr20.37,4
chr20.38,2
chr20.39,7
chr20.40,2
chr20.41,4
chr20.42,1
chr20.43,5
chr20.44,1
chr20.45,3
chr20.46,3
chr20.47,2
chr20.48,6
chr20.49,4
chr20.50,7
chr20.51,3
chr20.52,7
chr20.53,6
chr20.54,6
chr20.55,3
chr20.56,2
chr20.57,1
chr20.59,4
chr21.14,5
chr21.15,7
chr21.17,2
chr21.18,4
chr21.19,7
chr21.20,12
chr21.21,15
chr21.22,5
chr21.23,13
chr21.24,10
chr21.25,2
chr21.26,2
chr21.27,3
chr21.28,3
chr21.29,4
chr21.30,3
chr21.31,1
chr21.32,1
chr21.33,1
chr21.35,4
chr21.36,0
chr21.37,3
chr21.38,0
chr21.39,2
chr21.41,4
chr21.43,2
chr21.44,5
chr22.16,3
chr22.20,0
chr22.23,3
chr22.24,5
chr22.25,2
chr22.27,2
chr22.30,1
chr22.31,3
chr22.32,3
chr22.33,2
chr22.34,3
chr22.36,1
chr22.37,2
chr22.40,3
chr22.41,4
chr22.42,2
chr22.43,2
chr22.44,5
chr22.45,2
chr22.46,3
chr3.2,6
chr3.3,13
chr3.4,10
chr3.5,6
chr3.6,10
chr3.7,5
chr3.8,7
chr3.9,5
chr3.10,24
chr3.11,13
chr3.12,14
chr3.13,15
chr3.14,8
chr3.15,4
chr3.16,6
chr3.17,2
chr3.18,3
chr3.19,6
chr3.20,12
chr3.21,5
chr3.22,8
chr3.23,7
chr3.24,3
chr3.25,4
chr3.26,14
chr3.28,9
chr3.29,10
chr3.30,16
chr3.31,5
chr3.32,9
chr3.33,10
chr3.34,8
chr3.35,5
chr3.36,4
chr3.37,14
chr3.38,11
chr3.39,12
chr3.40,6
chr3.41,6
chr3.42,4
chr3.43,13
chr3.44,15
chr3.45,13
chr3.46,25
chr3.47,9
chr3.51,28
chr3.53,22
chr3.54,17
chr3.55,11
chr3.56,12
chr3.57,15
chr3.60,4
chr3.62,17
chr3.63,11
chr3.64,9
chr3.65,14
chr3.66,21
chr3.68,7
chr3.69,12
chr3.70,17
chr3.71,4
chr3.72,9
chr3.73,7
chr3.74,6
chr3.75,7
chr3.78,7
chr3.79,5
chr3.80,7
chr3.81,11
chr3.82,17
chr3.83,8
chr3.84,18
chr3.85,12
chr3.87,12
chr3.88,12
chr3.89,10
chr3.90,9
chr3.91,14
chr3.92,12
chr3.93,24
chr3.94,13
chr3.95,17
chr3.96,11
chr3.97,16
chr3.98,11
chr3.99,7
chr3.100,17
chr3.101,16
chr3.102,4
chr3.103,10
chr3.104,11
chr3.105,6
chr3.107,15
chr3.108,8
chr3.109,17
chr3.110,16
chr3.111,6
chr3.112,8
chr3.113,12
chr3.115,5
chr3.116,12
chr3.117,11
chr3.119,15
chr3.120,25
chr3.121,13
chr3.122,4
chr3.124,12
chr3.125,16
chr3.126,9
chr3.128,7
chr3.129,7
chr3.131,13
chr3.132,17
chr3.135,8
chr3.136,5
chr3.137,6
chr3.138,11
chr3.139,5
chr3.140,10
chr3.141,7
chr3.142,10
chr3.143,11
chr3.144,8
chr3.145,6
chr3.146,12
chr3.147,18
chr3.148,12
chr3.149,14
chr3.150,7
chr3.151,10
chr3.152,10
chr3.153,7
chr3.154,10
chr3.156,6
chr3.157,16
chr3.158,9
chr3.159,16
chr3.160,9
chr3.161,4
chr3.162,11
chr3.163,7
chr3.164,6
chr3.165,14
chr3.166,5
chr3.167,5
chr3.168,20
chr3.169,10
chr3.170,12
chr3.171,10
chr3.173,4
chr3.174,10
chr3.175,20
chr3.176,10
chr3.177,7
chr3.178,10
chr3.179,5
chr3.180,18
chr3.181,8
chr3.182,17
chr3.183,32
chr3.184,15
chr3.185,7
chr3.186,12
chr3.187,12
chr3.188,14
chr3.189,8
chr3.190,16
chr3.191,5
chr4.3,6
chr4.6,7
chr4.7,1
chr4.8,4
chr4.11,4
chr4.12,6
chr4.13,5
chr4.14,7
chr4.15,3
chr4.16,1
chr4.17,2
chr4.18,7
chr4.19,5
chr4.20,4
chr4.21,2
chr4.22,4
chr4.23,9
chr4.24,9
chr4.25,5
chr4.26,2
chr4.27,2
chr4.28,10
chr4.29,3
chr4.30,4
chr4.31,4
chr4.32,4
chr4.33,7
chr4.34,14
chr4.35,7
chr4.36,13
chr4.37,11
chr4.38,6
chr4.39,3
chr4.42,1
chr4.43,4
chr4.44,1
chr4.45,2
chr4.46,5
chr4.47,3
chr4.48,2
chr4.49,2
chr4.52,5
chr4.53,5
chr4.54,4
chr4.56,4
chr4.58,9
chr4.59,4
chr4.60,1
chr4.61,14
chr4.62,8
chr4.63,2
chr4.64,4
chr4.65,4
chr4.66,3
chr4.68,4
chr4.69,4
chr4.70,6
chr4.71,3
chr4.74,2
chr4.75,5
chr4.76,6
chr4.77,2
chr4.78,4
chr4.79,3
chr4.80,3
chr4.81,4
chr4.82,5
chr4.83,2
chr4.84,1
chr4.85,4
chr4.86,6
chr4.87,2
chr4.88,4
chr4.89,2
chr4.90,6
chr4.92,3
chr4.93,6
chr4.94,4
chr4.95,2
chr4.96,4
chr4.97,7
chr4.98,2
chr4.99,2
chr4.100,5
chr4.102,4
chr4.103,3
chr4.104,6
chr4.105,8
chr4.106,9
chr4.107,6
chr4.108,9
chr4.109,10
chr4.110,5
chr4.111,5
chr4.112,2
chr4.113,2
chr4.114,7
chr4.115,9
chr4.118,1
chr4.119,3
chr4.120,4
chr4.121,2
chr4.122,1
chr4.123,8
chr4.124,9
chr4.125,8
chr4.127,3
chr4.128,6
chr4.129,10
chr4.131,1
chr4.132,7
chr4.133,5
chr4.134,6
chr4.135,5
chr4.136,1
chr4.137,1
chr4.138,1
chr4.139,1
chr4.140,6
chr4.141,6
chr4.144,8
chr4.145,12
chr4.146,2
chr4.147,10
chr4.148,1
chr4.149,2
chr4.150,0
chr4.151,1
chr4.152,5
chr4.153,8
chr4.154,4
chr4.155,5
chr4.156,7
chr4.157,8
chr4.158,7
chr4.159,5
chr4.160,2
chr4.161,8
chr4.162,10
chr4.163,7
chr4.164,6
chr4.165,1
chr4.166,5
chr4.167,2
chr4.168,9
chr4.169,7
chr4.170,4
chr4.171,3
chr4.172,10
chr4.173,6
chr4.174,6
chr4.175,9
chr4.176,24
chr4.177,16
chr4.178,8
chr4.179,6
chr4.180,0
chr4.181,2
chr4.182,4
chr4.183,3
chr4.184,2
chr4.185,5
chr4.187,5
chr5.2,2
chr5.3,2
chr5.4,5
chr5.5,6
chr5.6,3
chr5.7,9
chr5.8,3
chr5.9,5
chr5.10,6
chr5.11,7
chr5.12,0
chr5.13,1
chr5.14,3
chr5.15,4
chr5.16,2
chr5.17,4
chr5.19,9
chr5.20,2
chr5.23,6
chr5.24,4
chr5.25,11
chr5.26,10
chr5.27,7
chr5.28,6
chr5.29,9
chr5.30,5
chr5.31,8
chr5.32,3
chr5.33,4
chr5.34,9
chr5.36,6
chr5.37,6
chr5.39,10
chr5.40,5
chr5.41,4
chr5.42,19
chr5.43,9
chr5.45,7
chr5.46,5
chr5.48,5
chr5.49,7
chr5.50,5
chr5.51,5
chr5.52,4
chr5.53,8
chr5.54,4
chr5.55,6
chr5.57,3
chr5.58,2
chr5.60,10
chr5.61,4
chr5.62,5
chr5.63,2
chr5.64,1
chr5.65,1
chr5.69,1
chr5.70,4
chr5.71,2
chr5.73,15
chr5.74,1
chr5.76,5
chr5.78,1
chr5.79,4
chr5.80,5
chr5.81,13
chr5.82,18
chr5.83,16
chr5.84,12
chr5.85,7
chr5.86,0
chr5.87,3
chr5.88,1
chr5.90,2
chr5.91,4
chr5.92,4
chr5.93,5
chr5.94,4
chr5.95,8
chr5.98,4
chr5.99,3
chr5.100,3
chr5.101,5
chr5.102,2
chr5.103,5
chr5.104,1
chr5.105,1
chr5.106,2
chr5.107,5
chr5.108,5
chr5.109,3
chr5.110,2
chr5.111,4
chr5.112,3
chr5.113,3
chr5.114,6
chr5.115,5
chr5.116,4
chr5.117,3
chr5.118,8
chr5.119,4
chr5.120,4
chr5.121,2
chr5.122,4
chr5.124,1
chr5.125,2
chr5.126,5
chr5.128,3
chr5.129,1
chr5.130,0
chr5.132,1
chr5.133,5
chr5.134,1
chr5.137,0
chr5.138,3
chr5.139,4
chr5.140,0
chr5.141,3
chr5.142,4
chr5.143,1
chr5.144,2
chr5.145,6
chr5.146,1
chr5.147,0
chr5.148,2
chr5.150,0
chr5.151,1
chr5.153,3
chr5.154,2
chr5.155,8
chr5.156,6
chr5.157,2
chr5.158,2
chr5.159,7
chr5.160,1
chr5.161,2
chr5.162,1
chr5.163,2
chr5.164,0
chr5.165,2
chr5.166,4
chr5.167,6
chr5.168,2
chr5.169,0
chr5.170,6
chr5.171,2
chr6.2,6
chr6.3,0
chr6.4,1
chr6.5,4
chr6.6,5
chr6.7,4
chr6.8,4
chr6.9,2
chr6.10,5
chr6.11,5
chr6.12,3
chr6.13,2
chr6.14,0
chr6.15,3
chr6.16,3
chr6.17,5
chr6.18,4
chr6.19,6
chr6.20,1
chr6.21,1
chr6.22,0
chr6.23,4
chr6.24,2
chr6.25,3
chr6.26,6
chr6.28,1
chr6.29,6
chr6.30,8
chr6.31,4
chr6.33,4
chr6.34,0
chr6.35,4
chr6.36,4
chr6.37,1
chr6.38,1
chr6.39,1
chr6.40,6
chr6.41,1
chr6.42,3
chr6.44,1
chr6.45,5
chr6.46,4
chr6.47,3
chr6.48,1
chr6.49,1
chr6.50,6
chr6.51,7
chr6.52,16
chr6.53,5
chr6.54,3
chr6.55,17
chr6.56,12
chr6.57,4
chr6.60,14
chr6.61,10
chr6.63,6
chr6.64,11
chr6.65,15
chr6.66,15
chr6.67,11
chr6.68,5
chr6.69,7
chr6.70,4
chr6.73,2
chr6.74,8
chr6.75,18
chr6.76,12
chr6.77,6
chr6.78,1
chr6.79,3
chr6.80,3
chr6.81,2
chr6.82,7
chr6.85,2
chr6.86,2
chr6.87,3
chr6.88,14
chr6.89,11
chr6.90,12
chr6.91,11
chr6.93,6
chr6.94,6
chr6.95,10
chr6.96,13
chr6.97,3
chr6.98,4
chr6.99,3
chr6.100,6
chr6.101,3
chr6.102,5
chr6.103,5
chr6.104,0
chr6.105,4
chr6.106,0
