"","ColoRect-AdenoCA_cluster_1","ColoRect-AdenoCA_cluster_2","ColoRect-AdenoCA_cluster_3","ColoRect-AdenoCA_cluster_4","ColoRect-AdenoCA_cluster_5","ColoRect-AdenoCA_cluster_6","ColoRect-AdenoCA_cluster_7","ColoRect-AdenoCA_cluster_8","ColoRect-AdenoCA_cluster_9","ColoRect-AdenoCA_clusters_6_8_9","Panc-AdenoCA_cluster_1","Panc-AdenoCA_cluster_2","Panc-AdenoCA_cluster_3","Panc-AdenoCA_cluster_4","Panc-AdenoCA_cluster_5","Panc-AdenoCA_cluster_6","Panc-AdenoCA_cluster_7","Panc-AdenoCA_cluster_8","Panc-AdenoCA_cluster_9"
"chr1.61",262,2253,10,33,18,1,11,4,6,11,112,94,86,37,11,2,71,27,0
"chr1.62",256,2115,9,39,31,0,8,3,1,4,70,69,35,33,21,4,60,38,0
"chr1.63",253,1802,11,21,20,2,11,3,3,8,52,85,62,47,31,3,58,24,0
"chr1.64",337,2362,13,28,18,3,5,7,2,12,59,79,48,47,19,6,88,25,0
"chr1.65",317,2552,18,37,34,3,7,11,5,19,43,76,37,32,16,3,55,24,0
"chr1.66",310,1968,9,20,20,1,7,6,6,13,38,67,50,36,12,4,74,35,0
"chr1.67",327,2785,13,42,28,1,7,5,2,8,87,98,74,52,21,12,74,36,0
"chr1.68",308,2373,9,37,25,1,13,7,2,10,63,75,46,32,14,5,63,35,0
"chr1.69",290,2229,16,29,28,1,8,4,5,10,37,71,40,40,16,3,68,27,0
"chr1.70",544,4192,23,105,108,3,15,14,8,25,184,170,100,103,30,9,131,33,0
"chr1.71",387,2951,25,64,55,0,5,6,9,15,133,119,80,70,32,9,79,29,0
"chr1.72",381,3257,22,54,64,3,12,11,6,20,167,149,99,99,29,10,133,36,0
"chr1.73",410,3734,29,82,96,4,11,8,8,20,267,201,136,106,33,12,149,48,0
"chr1.74",514,4521,31,101,82,7,6,13,10,30,265,220,174,143,48,9,147,53,0
"chr1.75",400,3737,31,69,60,1,9,6,7,14,147,156,94,69,34,6,103,35,0
"chr1.76",466,3926,36,85,80,2,13,10,9,21,146,156,104,101,30,9,119,38,0
"chr1.77",384,3130,19,47,68,1,9,7,11,19,92,89,80,63,28,6,109,34,0
"chr1.78",407,3110,21,44,40,1,10,6,6,13,111,103,65,60,30,5,78,35,0
"chr1.79",308,2232,15,37,38,1,6,8,8,17,71,69,48,36,13,10,80,33,1
"chr1.80",512,3865,49,88,90,8,10,8,11,27,173,182,102,76,36,14,119,34,0
"chr1.81",672,4468,59,133,119,11,8,12,15,38,168,142,103,74,23,9,116,30,0
"chr1.82",637,4304,63,109,88,5,11,13,9,27,147,111,85,60,32,11,94,19,0
"chr1.83",489,3770,29,99,81,3,7,6,7,16,131,116,76,57,26,6,96,16,0
"chr1.85",327,2373,11,32,29,1,3,3,4,8,57,84,35,40,15,4,52,27,0
"chr1.86",259,2345,8,37,21,0,5,8,1,9,50,65,32,34,26,3,56,13,0
"chr1.87",337,2764,19,37,36,4,1,11,8,23,70,96,76,57,22,6,70,24,0
"chr1.88",298,2293,12,28,25,2,5,2,5,9,42,60,22,34,22,2,63,28,0
"chr1.89",316,3120,12,41,28,1,10,10,6,17,40,74,31,25,14,6,72,22,0
"chr1.90",329,2456,23,33,25,0,10,1,5,6,53,57,44,40,17,7,52,11,0
"chr1.91",313,2487,15,28,32,0,10,6,3,9,65,72,51,64,18,2,58,26,0
"chr1.92",368,2597,15,33,49,3,5,10,3,16,89,110,70,50,31,8,82,22,0
"chr1.93",285,2179,14,43,18,1,8,7,6,14,59,61,40,46,25,4,67,23,0
"chr1.95",239,1981,19,31,16,1,3,5,4,10,45,49,31,33,18,2,48,19,0
"chr1.96",228,1834,10,20,18,2,8,7,9,18,52,81,65,43,16,5,53,16,0
"chr1.97",491,3573,35,76,84,0,8,5,11,16,119,115,66,62,26,10,105,31,0
"chr1.98",487,3744,23,86,69,4,8,8,7,19,112,90,58,56,22,5,81,24,0
"chr1.99",439,3703,42,73,84,3,8,5,11,19,95,78,53,48,19,5,66,22,0
"chr1.100",394,3177,24,47,56,3,5,7,9,19,99,71,62,48,22,1,72,33,0
"chr1.101",286,2143,12,34,21,2,9,3,5,10,42,68,52,41,19,2,45,20,0
"chr1.102",374,2845,16,54,41,3,6,9,9,21,85,110,66,64,25,1,61,27,0
"chr1.103",416,3535,30,84,69,7,9,14,5,26,223,175,86,100,44,14,123,37,0
"chr1.106",671,4794,43,132,103,2,7,15,10,27,214,148,144,98,40,9,112,33,1
"chr1.107",578,4683,40,109,79,4,14,11,15,30,203,161,116,98,25,7,114,44,0
"chr1.108",546,4067,49,75,81,5,13,14,15,34,209,157,107,108,35,8,121,48,0
"chr1.110",214,1586,7,18,18,0,11,4,4,8,46,60,39,36,29,3,33,19,0
"chr1.111",246,1737,11,31,16,1,3,3,2,6,51,61,33,30,33,2,59,24,0
"chr1.112",425,2893,17,42,34,5,7,7,6,18,64,101,44,40,47,5,71,25,0
"chr1.113",301,2268,13,39,35,3,5,11,15,29,72,87,52,55,24,5,80,20,0
"chr1.115",319,1918,13,34,22,0,5,6,2,8,58,69,42,39,19,2,71,18,0
"chr1.116",402,2957,17,39,36,1,9,5,13,19,100,95,75,64,27,9,73,26,0
"chr1.117",276,2220,12,26,19,2,8,4,7,13,51,76,41,39,17,1,60,18,0
"chr1.118",247,2064,9,29,15,2,4,3,5,10,37,70,42,35,11,5,42,23,0
"chr1.119",334,2746,17,38,36,1,4,7,5,13,76,72,47,55,24,6,59,24,0
"chr1.120",344,2713,10,43,35,3,4,7,4,14,94,76,52,65,23,3,63,28,0
"chr1.149",310,1940,19,31,13,0,7,7,1,8,79,96,58,52,33,3,78,36,0
"chr1.150",400,2376,40,38,45,3,5,13,6,22,126,133,78,74,46,8,126,36,0
"chr1.152",282,1395,12,27,24,1,13,9,3,13,74,102,51,44,26,6,80,35,0
"chr1.154",277,1866,10,31,33,0,13,7,6,13,87,110,69,41,24,8,78,31,0
"chr1.155",464,2881,29,48,47,2,8,12,12,26,193,204,113,133,31,13,133,37,1
"chr1.156",520,3347,34,80,59,4,7,4,12,20,240,232,131,95,40,13,146,44,0
"chr1.157",276,1987,15,36,16,1,13,9,9,19,63,86,52,57,33,3,72,32,0
"chr1.160",387,2776,26,52,52,1,13,8,8,17,84,114,53,44,28,6,78,30,0
"chr1.161",370,3313,28,65,56,1,9,4,9,14,112,118,75,62,32,7,126,34,0
"chr1.162",388,2579,18,40,42,0,14,4,8,12,109,169,54,56,23,6,109,34,0
"chr1.164",316,2199,14,35,25,0,9,5,2,7,96,108,57,55,33,5,86,40,0
"chr1.165",288,2063,19,29,29,0,9,6,3,9,66,96,47,52,38,2,68,29,0
"chr1.166",229,2053,13,23,17,1,11,6,4,11,72,85,38,26,20,2,62,38,0
"chr1.167",356,2700,11,30,34,0,8,7,5,12,89,123,79,56,27,5,78,32,1
"chr1.168",395,2910,23,43,41,3,7,9,7,19,111,130,61,58,22,8,120,37,0
"chr1.169",274,2370,9,24,29,2,11,4,2,8,60,94,50,44,36,6,71,26,0
"chr1.170",414,2848,22,39,29,1,7,3,8,12,76,96,34,38,22,6,84,36,0
"chr1.172",382,2309,20,52,47,2,3,8,6,16,132,127,73,69,36,8,98,24,0
"chr1.173",424,2668,28,54,53,1,5,5,7,13,130,135,77,65,43,7,127,47,0
"chr1.174",498,3352,31,94,89,3,7,8,5,16,196,183,105,95,59,12,146,42,0
"chr1.175",286,2025,14,44,30,2,10,9,5,16,58,108,60,46,25,6,84,32,0
"chr1.177",286,1983,10,36,22,1,7,1,2,4,55,72,43,46,30,5,53,28,0
"chr1.178",359,2112,9,42,30,2,7,4,5,11,71,95,39,38,21,1,67,25,0
"chr1.179",410,2545,13,37,49,4,6,7,6,17,113,141,62,69,26,4,75,41,0
"chr1.180",342,2206,16,27,25,4,4,6,6,16,59,81,54,32,29,1,68,33,0
"chr1.181",344,2311,18,38,28,2,9,5,7,14,63,84,50,40,30,5,54,32,0
"chr1.182",322,2552,10,26,32,3,8,12,5,20,72,92,51,34,20,3,86,23,1
"chr1.183",332,2844,18,47,43,2,7,7,9,18,109,145,65,56,26,11,78,34,0
"chr1.184",546,3338,38,80,83,1,13,11,8,20,172,187,103,105,34,10,120,42,0
"chr1.185",812,5278,73,147,102,5,15,20,14,39,357,288,181,147,65,21,166,51,1
"chr1.186",852,5334,64,162,102,12,12,14,9,35,357,267,192,203,53,10,170,47,0
"chr1.187",653,5397,51,138,86,4,10,10,9,23,369,308,197,176,48,16,150,56,0
"chr1.188",741,4806,57,125,128,6,18,13,7,26,395,307,228,235,61,19,160,63,0
"chr1.189",586,4194,44,102,87,4,16,12,15,31,225,208,144,137,50,15,169,39,1
"chr1.190",353,2647,11,34,29,1,8,8,4,13,74,93,46,42,24,4,62,22,0
"chr1.191",345,3191,30,65,57,0,9,11,2,13,177,162,107,92,42,8,105,35,0
"chr1.192",502,3789,34,98,97,1,7,7,9,17,375,333,199,226,59,25,170,62,0
"chr1.193",446,3454,36,87,78,1,6,13,8,22,350,202,151,152,49,15,129,42,0
"chr1.195",346,2773,14,48,39,0,10,13,5,18,91,75,54,41,20,9,86,29,0
"chr1.196",408,3418,19,84,100,3,9,8,8,19,157,139,78,76,22,8,136,42,0
"chr1.197",382,2427,18,42,41,1,6,3,7,11,104,139,54,54,21,6,65,28,0
"chr1.198",254,1745,14,28,27,1,3,4,1,6,48,99,46,44,29,4,50,29,0
"chr1.200",260,1781,9,21,21,0,4,5,6,11,72,106,50,44,27,4,91,27,0
"chr1.201",258,1557,18,26,21,0,9,7,1,8,54,84,41,49,33,2,68,22,1
"chr1.202",310,1729,18,42,28,3,5,8,1,12,74,99,58,46,22,2,62,37,0
"chr1.204",255,1778,15,27,19,1,4,3,5,9,43,92,47,38,26,5,61,18,0
"chr1.206",448,3272,27,69,61,3,15,17,9,29,179,188,117,96,48,8,125,31,0
"chr1.207",401,2646,25,40,38,2,6,10,8,20,89,115,48,53,38,2,88,28,0
"chr1.208",435,2557,30,63,36,0,10,6,8,14,134,136,86,77,38,8,95,31,0
"chr1.209",264,1704,12,19,24,0,5,5,0,5,55,81,46,44,35,6,86,19,0
"chr1.210",311,1932,10,23,29,0,6,10,5,15,64,92,45,45,22,3,62,30,1
"chr1.211",333,2335,19,25,25,0,6,4,6,10,140,167,108,75,28,8,111,34,0
"chr1.212",454,3055,16,60,58,0,6,8,6,14,143,123,76,55,37,11,98,33,0
"chr1.213",481,3639,39,78,64,3,10,13,10,26,127,115,83,58,36,8,95,38,0
"chr1.214",372,3285,34,60,71,1,11,9,14,24,162,139,87,74,32,7,109,35,0
"chr1.215",478,3102,23,76,58,0,10,6,6,12,167,152,88,63,40,5,116,26,0
"chr1.216",529,3471,35,80,84,3,17,13,6,22,101,85,51,59,25,2,90,29,0
"chr1.217",382,2572,25,34,53,1,9,7,5,13,105,110,76,68,34,6,98,25,0
"chr1.218",431,2826,28,64,59,1,7,13,9,23,151,118,92,84,32,12,100,20,0
"chr1.219",434,2954,20,57,79,3,6,7,8,18,95,91,60,65,33,2,88,30,1
"chr1.222",288,2038,14,39,25,1,4,7,3,11,91,104,77,50,21,5,60,39,0
"chr1.223",225,1516,16,17,16,0,7,3,2,5,64,70,46,47,21,5,63,23,0
"chr1.224",299,1854,12,28,25,2,12,4,6,12,86,101,38,45,23,2,60,21,0
"chr1.225",340,2016,21,34,29,2,10,15,7,24,69,104,51,60,37,8,88,32,0
"chr1.227",318,1911,12,32,18,2,8,4,6,12,76,91,60,54,30,3,80,28,0
"chr1.228",331,1990,10,26,31,0,9,7,4,11,92,98,61,38,23,1,68,23,0
"chr1.229",368,2706,24,29,37,0,4,8,7,15,80,102,76,44,31,4,80,29,0
"chr1.230",290,2071,11,34,30,2,10,2,7,11,58,84,49,34,25,4,65,21,0
"chr1.231",366,2541,22,44,49,3,7,4,13,20,104,138,66,72,21,5,80,27,0
"chr1.233",321,2053,16,26,30,0,5,4,6,10,75,113,58,53,21,4,65,27,0
"chr1.234",436,2690,37,65,42,1,8,9,12,22,187,181,102,100,48,10,128,42,0
"chr1.235",567,3817,44,85,93,1,14,11,13,25,205,162,112,87,72,6,129,32,0
"chr1.236",517,3338,37,76,66,0,15,8,16,24,147,130,106,95,29,6,119,34,0
"chr1.237",367,2570,18,45,43,2,11,6,10,18,198,150,110,106,40,14,119,32,0
"chr1.238",472,2994,21,56,52,1,7,12,3,16,194,192,116,123,46,7,130,47,0
"chr1.241",463,2834,27,52,54,1,3,8,8,17,168,153,89,78,46,11,116,34,0
"chr1.242",369,2204,14,28,32,2,4,6,5,13,72,98,54,45,21,8,82,20,2
"chr1.243",388,2129,17,55,26,1,14,5,7,13,82,100,70,58,61,8,79,23,0
"chr10.2",422,2196,32,81,59,5,13,6,11,22,162,136,114,87,39,10,85,30,1
"chr10.3",675,3412,60,105,71,1,10,9,15,25,177,151,118,112,48,12,101,36,0
"chr10.4",321,2096,24,49,31,0,5,3,6,9,93,114,65,61,38,2,73,30,0
"chr10.5",335,2611,14,37,35,1,10,5,7,13,75,72,58,41,31,4,63,33,0
"chr10.7",373,2215,25,48,47,0,5,5,5,10,79,108,54,50,24,3,51,19,0
"chr10.8",524,2674,40,83,67,4,8,11,13,28,133,104,111,82,31,9,89,23,0
"chr10.9",529,3171,29,75,73,3,7,8,8,19,124,104,75,61,33,11,90,28,0
"chr10.10",613,3835,45,84,97,7,7,9,11,27,184,141,124,82,31,5,118,34,0
"chr10.11",480,3368,39,71,76,3,14,12,11,26,225,201,132,132,40,12,134,37,0
"chr10.12",297,1722,18,29,23,2,9,4,5,11,97,115,86,76,40,5,79,20,0
"chr10.14",309,2082,17,34,22,3,7,5,3,11,73,81,66,46,22,3,63,26,0
"chr10.15",362,2322,19,48,39,1,12,1,6,8,77,79,64,52,21,2,59,28,0
"chr10.16",332,2232,17,24,22,1,7,7,6,14,77,99,75,45,22,7,61,17,0
"chr10.17",434,3009,29,62,57,3,10,6,9,18,109,102,83,61,18,6,99,36,0
"chr10.20",449,3437,20,59,59,1,10,13,7,21,212,199,153,139,54,14,117,41,0
"chr10.21",348,3002,18,47,57,1,6,7,13,21,216,197,127,109,29,9,106,38,0
"chr10.22",322,2026,13,32,16,0,4,6,3,9,101,78,79,57,26,6,68,22,0
"chr10.23",370,2552,29,47,26,2,6,6,3,11,59,67,51,38,27,4,64,24,0
"chr10.24",419,2966,23,46,33,4,7,9,6,19,82,91,56,58,19,10,64,29,0
"chr10.25",294,2416,20,37,28,1,10,7,5,13,74,65,59,35,20,4,70,23,0
"chr10.26",339,2603,19,48,31,1,3,5,6,12,85,97,66,43,26,8,89,27,0
"chr10.27",477,3010,45,79,53,4,11,6,13,23,115,135,90,90,40,8,118,36,0
"chr10.28",301,2193,16,26,54,0,11,3,6,9,61,89,54,42,66,6,63,15,0
"chr10.29",334,2319,15,44,43,0,3,9,7,16,74,70,59,42,28,5,68,31,0
"chr10.30",392,2134,14,46,40,4,8,5,7,16,92,83,50,40,18,2,79,22,0
"chr10.31",378,2342,20,34,31,3,4,4,6,13,70,94,59,30,28,2,59,34,0
"chr10.32",415,2630,27,50,40,1,7,8,5,14,70,82,63,44,38,6,68,18,0
"chr10.34",371,2592,15,51,27,2,5,9,3,14,64,69,62,45,21,3,64,38,1
"chr10.35",329,2179,13,44,34,3,10,5,12,20,72,89,44,37,21,6,69,16,0
"chr10.36",319,1985,16,37,27,4,5,3,5,12,56,75,44,40,22,2,82,22,0
"chr10.37",585,3693,44,107,79,6,9,15,8,29,166,168,98,77,37,8,127,41,0
"chr10.41",302,1880,10,55,24,1,13,10,6,17,85,126,50,65,28,0,79,28,0
"chr10.42",349,2708,24,43,53,0,5,7,9,16,101,87,65,51,28,9,92,29,0
"chr10.51",356,3354,27,85,83,3,7,10,8,21,113,84,57,53,35,7,91,46,0
"chr10.52",339,2994,22,60,52,1,7,7,7,15,122,105,68,52,24,12,97,27,0
"chr10.53",476,3738,58,77,89,3,5,7,14,24,262,234,182,138,46,21,184,47,0
"chr10.55",588,4866,53,140,120,9,10,7,9,25,331,261,199,188,40,10,199,52,0
"chr10.56",584,4345,50,94,97,12,11,10,11,33,316,236,162,147,57,16,186,51,0
"chr10.57",286,2672,14,30,48,1,1,3,6,10,83,91,63,49,24,7,90,28,1
"chr10.58",336,2880,15,52,46,1,8,7,10,18,109,111,73,59,31,3,107,31,0
"chr10.59",272,1963,13,40,19,0,5,4,6,10,61,76,35,53,20,2,61,20,0
"chr10.60",329,2623,24,29,22,0,6,3,11,14,58,70,43,31,17,4,64,25,0
"chr10.61",291,2341,20,29,25,2,10,4,6,12,59,74,56,33,22,4,77,14,0
"chr10.62",409,2471,17,60,35,3,10,11,6,20,80,127,58,61,18,5,82,29,0
"chr10.63",317,2468,26,48,43,1,12,7,4,12,102,109,71,44,23,2,84,38,0
"chr10.64",447,3473,33,66,54,1,12,8,7,16,139,133,95,73,23,6,91,39,0
"chr10.65",396,3330,29,56,57,1,7,10,6,17,161,137,95,78,25,4,117,27,0
"chr10.69",251,1641,13,30,32,2,5,5,5,12,66,99,43,51,64,2,63,26,0
"chr10.70",269,1774,19,32,16,3,4,4,7,14,91,99,50,46,23,3,65,50,0
"chr10.71",229,1371,15,21,15,4,9,3,5,12,66,78,38,40,14,1,85,28,0
"chr10.74",247,1773,13,30,23,1,11,6,7,14,50,81,43,26,18,1,67,27,0
"chr10.75",312,2730,24,37,36,3,7,8,9,20,82,84,66,52,17,8,98,20,2
"chr10.76",364,2798,24,43,38,4,6,8,8,20,96,104,55,63,20,4,86,41,0
"chr10.77",265,1808,7,34,28,1,9,2,6,9,56,84,54,35,19,8,73,21,0
"chr10.78",243,1721,10,33,19,1,9,3,8,12,36,68,48,46,24,2,60,31,0
"chr10.80",363,3212,39,60,58,3,4,4,6,13,181,173,136,93,27,7,105,34,1
"chr10.81",618,4555,41,125,105,2,7,9,19,30,226,190,139,126,36,11,112,27,0
"chr10.82",594,4192,39,114,90,4,7,2,20,26,256,203,139,121,36,10,110,38,0
"chr10.83",335,2417,18,54,32,2,5,5,5,12,141,130,102,73,22,10,98,41,0
"chr10.84",396,2985,36,61,67,3,13,16,8,27,233,189,155,106,23,10,117,53,1
"chr10.85",408,2395,33,52,39,1,4,9,6,16,102,111,76,64,16,7,101,24,0
"chr10.87",266,2202,11,34,15,2,6,7,2,11,43,49,25,32,15,2,49,17,0
"chr10.88",262,2239,11,32,20,2,4,7,4,13,45,63,41,29,15,4,51,17,0
"chr10.89",398,2753,22,52,48,4,4,9,5,18,132,129,93,67,28,12,87,34,1
"chr10.90",397,3094,28,61,54,2,9,6,6,14,117,117,56,60,26,7,88,26,0
"chr10.92",297,1855,7,28,14,1,10,9,2,12,44,82,53,28,11,2,66,29,0
"chr10.93",224,1887,10,23,16,2,8,3,2,7,43,61,39,30,21,5,60,22,0
"chr10.95",276,1961,11,27,11,3,3,3,2,8,53,65,33,32,13,0,60,20,1
"chr10.96",262,1585,15,28,22,2,9,2,5,9,55,65,49,36,18,4,48,20,2
"chr10.97",290,1705,16,31,25,1,7,6,4,11,71,70,58,44,17,3,56,14,0
"chr10.100",268,1710,13,42,17,1,4,5,2,8,44,90,42,58,20,8,63,31,0
"chr10.101",209,1360,7,29,15,1,8,4,5,10,36,70,47,45,13,4,60,17,0
"chr10.103",241,1665,10,30,12,1,17,5,3,9,52,84,40,34,32,4,54,24,0
"chr10.104",464,3136,35,80,75,5,9,10,8,23,208,203,140,138,48,16,137,41,0
"chr10.105",554,3961,46,106,96,6,9,13,5,24,268,203,129,155,38,16,142,43,1
"chr10.106",525,3726,49,90,93,6,10,3,8,17,225,189,156,137,43,12,161,37,0
"chr10.107",393,3316,29,73,69,2,11,8,7,17,273,223,177,131,36,14,164,41,0
"chr10.108",470,3402,30,75,64,1,9,12,4,17,175,174,119,176,29,3,141,45,0
"chr10.109",283,1889,13,33,19,1,6,6,5,12,68,91,64,42,24,5,69,33,0
"chr10.110",299,2168,12,50,17,2,6,5,6,13,57,90,58,47,26,3,60,27,0
"chr10.111",283,2289,25,42,25,1,8,7,3,11,90,105,66,67,24,7,80,49,0
"chr10.112",266,1822,17,27,26,1,9,3,1,5,54,73,45,41,23,2,60,30,0
"chr10.113",275,1748,12,27,14,0,4,7,2,9,47,54,52,26,28,1,63,24,0
"chr10.114",320,2236,11,36,20,0,5,7,2,9,89,77,63,53,24,4,70,28,0
"chr10.115",467,3308,34,73,54,2,8,8,7,17,177,164,129,119,29,12,134,46,0
"chr10.116",342,2315,9,37,22,2,4,10,4,16,76,102,76,72,30,3,79,25,0
"chr10.117",368,2741,12,31,39,3,6,7,11,21,81,97,62,69,29,8,92,35,0
"chr10.118",284,1695,17,38,24,0,9,3,6,9,66,64,57,49,22,4,71,21,0
"chr10.119",308,2331,14,41,37,2,8,7,4,13,100,90,73,64,24,4,78,34,0
"chr10.120",384,2515,10,49,39,0,10,6,7,13,58,81,52,47,23,5,77,34,0
"chr10.121",243,1423,7,22,15,1,5,3,6,10,44,75,30,33,7,2,46,20,1
"chr10.122",363,2161,10,43,28,2,4,2,3,7,72,113,56,78,28,7,72,26,0
"chr10.123",320,2066,18,62,30,1,8,4,6,11,106,145,80,81,24,9,94,42,1
"chr10.124",296,2005,8,29,18,1,9,5,9,15,76,80,37,44,18,3,58,35,0
"chr10.125",412,2421,12,44,31,3,9,9,9,21,116,139,94,100,20,5,91,45,0
"chr10.127",373,2287,23,46,24,1,13,8,9,18,136,141,118,82,24,10,92,25,0
"chr10.128",514,3090,41,77,82,4,13,9,13,26,229,257,138,148,28,19,167,46,0
"chr10.129",402,2225,31,56,47,6,10,6,13,25,162,170,105,112,27,5,130,31,0
"chr10.130",635,2969,53,115,88,4,12,8,10,22,280,344,208,201,53,23,185,70,1
"chr10.132",229,1206,19,44,26,4,6,8,7,19,72,111,100,69,18,7,97,35,0
"chr11.3",220,1262,8,31,23,1,9,6,6,13,71,93,67,49,18,6,76,33,0
"chr11.6",451,3365,26,68,66,2,7,13,13,28,143,143,98,86,27,8,99,52,0
"chr11.7",354,2061,16,27,25,4,5,6,8,18,82,77,54,49,21,5,79,26,0
"chr11.8",397,2673,23,41,51,0,1,7,10,17,85,99,72,65,29,5,80,20,0
"chr11.9",323,1984,21,58,21,5,10,6,11,22,67,85,48,37,22,1,65,23,0
"chr11.11",296,2043,8,52,15,2,5,4,6,12,55,70,57,33,13,2,69,27,0
"chr11.12",285,1985,23,39,26,0,5,9,8,17,62,92,60,41,20,3,58,19,0
"chr11.13",232,1637,10,31,9,2,4,4,4,10,39,56,35,41,15,3,60,30,0
"chr11.14",309,2225,7,53,16,0,3,4,9,13,58,61,41,51,21,2,75,17,0
"chr11.16",361,2599,19,39,34,3,9,8,5,16,73,86,53,45,21,8,84,29,0
"chr11.17",277,2538,19,27,43,2,12,3,5,10,46,73,47,39,14,3,77,16,0
"chr11.18",267,1631,19,34,21,1,8,5,5,11,62,73,40,45,13,1,72,23,0
"chr11.20",261,2144,19,40,25,0,8,4,2,6,64,70,66,38,19,5,67,22,0
"chr11.21",346,2474,28,61,43,2,9,11,7,20,124,114,113,71,34,7,112,32,0
"chr11.22",536,4123,46,102,81,1,5,10,18,29,197,151,115,101,37,13,113,26,0
"chr11.23",441,3516,36,64,60,2,11,10,10,22,110,75,67,51,22,6,86,34,0
"chr11.24",324,3170,17,69,53,2,7,5,8,15,113,88,62,36,26,2,84,23,0
"chr11.25",457,3723,43,101,51,5,11,6,8,19,121,126,86,45,30,9,123,42,0
"chr11.26",538,4425,34,122,66,4,6,16,12,32,241,157,152,86,42,10,139,46,1
