,kidney_clear_cell,kidney_papillary,melanoma_acral_lentiginuous,melanoma_desmoplastic,melanoma_mucosal_lentiginous,melanoma_nodular,melanoma_superificial_spreading,colorectal_nos,colorectal_adeno_nos,colorectal_adeno_mucinous,CIN,GS,MSI,POLE
chr1.110,195,64,23,4,3,446,334,3,1019,840,48,10,11,1270
chr1.111,204,48,20,2,2,586,416,4,1178,868,64,8,3,1415
chr1.112,272,58,53,1,4,1178,793,8,1876,1552,119,24,7,2364
chr1.113,252,45,49,4,6,1576,1173,7,1510,1173,86,13,5,1858
chr1.115,202,65,37,4,6,740,524,6,1197,1116,68,9,5,1558
chr1.116,231,45,42,1,8,1561,1230,10,2032,1437,111,20,9,2401
chr1.117,249,56,32,8,4,825,576,6,1419,1149,63,5,8,1809
chr1.118,187,61,24,2,5,584,392,7,1322,1049,52,10,4,1723
chr1.119,212,52,43,2,4,1178,815,10,1822,1356,97,22,4,2219
chr1.120,249,57,71,3,8,1634,1115,9,1779,1375,88,22,4,2207
chr1.149,210,53,42,0,32,926,754,5,1268,1055,65,14,7,1584
chr1.150,305,70,81,8,6,1883,1322,7,1599,1320,128,21,5,1950
chr1.152,215,64,37,6,5,609,412,3,914,849,73,21,13,1135
chr1.154,229,58,41,3,6,1066,747,5,1214,1024,67,7,13,1493
chr1.155,286,85,60,8,7,1585,1219,19,1962,1522,133,39,8,2308
chr1.156,301,52,76,5,9,2016,1428,20,2337,1710,184,33,7,2661
chr1.157,216,59,38,4,10,1234,806,6,1294,1062,57,11,13,1638
chr1.160,250,58,43,4,7,1164,808,23,1845,1455,125,11,13,2296
chr1.161,332,69,120,8,19,3463,2438,24,2291,1540,152,19,9,2701
chr1.162,271,72,75,4,8,1711,1281,8,1730,1355,104,17,14,2075
chr1.164,222,63,59,7,10,1510,1047,4,1378,1223,77,13,9,1842
chr1.165,227,51,42,1,8,720,483,7,1326,1113,68,6,9,1717
chr1.166,194,71,35,5,8,681,447,5,1313,1039,50,8,11,1702
chr1.167,209,49,44,2,12,1071,701,8,1743,1400,89,11,8,2229
chr1.168,248,94,50,2,6,1390,898,24,1976,1438,101,24,7,2389
chr1.169,170,42,30,2,6,934,678,11,1495,1219,68,19,11,1913
chr1.170,224,49,48,2,8,1532,964,10,1895,1466,91,19,7,2284
chr1.172,260,61,62,4,9,1131,759,12,1555,1262,112,19,3,1855
chr1.173,235,70,89,11,11,1726,1204,20,1817,1408,136,10,5,2131
chr1.174,258,66,135,6,12,2937,2173,29,2358,1700,226,38,7,2660
chr1.175,195,59,46,6,8,969,685,11,1325,1089,90,17,10,1678
chr1.177,221,60,37,4,4,838,527,2,1259,1087,71,13,7,1629
chr1.178,180,58,46,5,1,1149,779,9,1421,1140,79,12,7,1707
chr1.179,262,46,73,4,9,1603,1177,15,1662,1400,122,11,6,2093
chr1.180,237,55,42,2,3,762,540,12,1474,1150,63,9,4,1797
chr1.181,238,67,27,3,5,509,350,6,1495,1261,72,15,9,1899
chr1.182,205,67,22,2,3,554,332,8,1638,1324,73,7,8,2080
chr1.183,182,53,25,4,6,580,392,17,1836,1456,107,20,7,2307
chr1.184,391,73,56,4,0,1242,806,27,2395,1696,229,37,13,2695
chr1.185,390,64,75,3,6,1320,864,44,3755,2667,340,80,15,4040
chr1.186,462,76,98,4,4,2269,1577,30,3799,2732,403,76,12,4079
chr1.187,591,90,117,3,17,2916,2024,28,3603,2727,306,63,10,4158
chr1.188,484,64,109,6,14,2847,2037,39,3475,2387,358,62,18,3601
chr1.189,436,84,73,5,8,1650,1094,34,2906,2120,247,60,16,3290
chr1.190,220,62,45,4,7,918,659,6,1652,1437,73,14,8,2164
chr1.191,320,65,131,3,12,2570,1917,25,2147,1538,155,28,9,2656
chr1.192,604,97,117,4,13,3184,2303,36,2554,1954,262,42,7,3060
chr1.193,406,58,102,7,12,2584,1791,29,2422,1678,226,34,6,2753
chr1.195,256,69,39,3,11,1248,932,20,1832,1396,101,23,10,2296
chr1.196,345,83,52,3,9,1266,906,46,2386,1625,212,37,9,2687
chr1.197,313,53,49,5,6,1658,1091,6,1641,1280,115,17,6,1968
chr1.198,221,63,37,4,5,744,491,9,1158,910,66,14,3,1462
chr1.200,214,54,28,0,3,678,485,3,1159,945,49,9,4,1432
chr1.201,241,75,23,3,3,513,356,13,1022,862,68,20,9,1267
chr1.202,230,65,40,4,2,834,516,5,1120,1019,91,10,5,1405
chr1.204,217,54,40,3,6,630,422,7,1121,979,64,13,4,1429
chr1.206,330,73,127,12,8,2946,2164,21,2263,1637,185,27,15,2640
chr1.207,249,60,51,7,8,1130,817,8,1790,1378,106,24,6,2152
chr1.208,269,64,46,4,7,845,630,13,1734,1398,145,27,10,2072
chr1.209,216,57,23,0,7,534,347,6,1096,931,60,5,5,1399
chr1.210,209,54,28,1,4,553,414,1,1252,1073,67,14,6,1567
chr1.211,253,62,49,4,13,1359,1026,12,1501,1240,76,16,6,1870
chr1.212,250,73,41,2,8,731,515,24,2102,1537,152,35,6,2419
chr1.213,292,64,57,5,6,1191,849,27,2494,1816,186,32,10,2936
chr1.214,253,72,45,2,11,1414,932,28,2249,1580,190,31,11,2606
chr1.215,275,48,40,2,6,1135,690,26,2141,1592,161,31,10,2473
chr1.216,288,57,44,5,12,1180,872,24,2402,1812,198,48,17,2793
chr1.217,239,64,25,3,5,781,515,18,1766,1304,115,25,9,2157
chr1.218,283,55,55,5,11,1607,1114,15,1950,1473,156,21,7,2297
chr1.219,259,65,43,4,11,1102,717,30,1971,1567,175,32,6,2379
chr1.222,194,76,34,3,6,830,594,8,1334,1077,80,18,4,1682
chr1.223,182,68,36,2,7,561,392,4,950,848,53,15,7,1225
chr1.224,211,54,33,3,3,457,300,5,1233,1004,68,17,12,1515
chr1.225,239,56,41,6,8,940,634,5,1419,1050,96,14,10,1628
chr1.227,219,50,51,2,4,784,584,4,1249,1058,72,14,8,1544
chr1.228,238,56,26,3,5,674,434,10,1274,1124,60,12,9,1640
chr1.229,224,68,36,4,5,617,412,12,1860,1311,103,17,4,2200
chr1.230,253,51,63,6,8,1299,764,7,1376,1074,70,9,10,1677
chr1.231,243,61,98,6,11,3039,2159,7,1695,1347,115,24,7,2041
chr1.233,199,65,25,4,8,466,297,4,1382,1075,86,10,5,1692
chr1.234,249,42,50,7,4,728,534,10,1897,1393,148,29,8,2197
chr1.235,259,55,83,6,8,1020,702,31,2651,1963,245,47,14,2989
chr1.236,326,63,116,16,11,2609,1976,21,2267,1785,180,41,15,2699
chr1.237,315,83,113,8,15,2028,1426,16,1662,1394,116,30,11,2107
chr1.238,459,80,132,6,15,2695,1892,26,2056,1536,147,27,7,2388
chr1.241,204,64,39,3,6,638,457,8,1973,1469,134,25,3,2249
chr1.242,209,63,49,0,7,653,394,11,1444,1209,88,20,4,1796
chr1.243,202,60,34,6,7,590,346,4,1423,1215,100,20,14,1709
chr10.2,327,55,42,1,1,1123,601,18,1581,1226,171,27,13,1727
chr10.3,310,51,65,4,2,1731,859,23,2542,1793,235,62,10,2652
chr10.4,251,54,40,1,3,697,362,8,1508,1019,110,12,5,1638
chr10.5,234,49,19,1,4,513,247,13,1778,1264,87,11,10,2130
chr10.7,182,42,43,5,4,795,447,14,1618,1091,122,9,5,1754
chr10.8,236,63,34,2,3,583,308,24,2020,1380,206,40,8,2052
chr10.9,381,65,87,3,7,2551,1383,28,2263,1612,189,38,7,2489
chr10.10,460,59,87,3,9,2481,1400,36,2822,1850,261,60,7,3009
chr10.11,454,73,64,3,3,1439,812,31,2423,1620,200,31,14,2668
chr10.12,244,81,27,2,1,449,264,7,1176,926,81,12,9,1394
chr10.14,214,53,26,3,4,530,321,2,1447,1033,76,11,7,1650
chr10.15,205,50,22,4,3,878,497,16,1639,1155,96,16,12,1853
chr10.16,235,61,36,0,3,1174,638,8,1466,1174,73,20,7,1828
chr10.17,228,76,27,8,3,1163,679,19,2102,1498,157,36,10,2418
chr10.20,389,61,84,3,10,2836,1731,24,2505,1526,158,36,10,2715
chr10.21,222,58,81,0,6,2799,1691,22,2094,1383,130,17,6,2464
chr10.22,227,60,26,2,3,1425,846,7,1366,1049,67,9,4,1635
chr10.23,207,67,22,3,2,604,341,5,1805,1231,97,17,6,2066
chr10.24,220,66,35,1,2,946,477,12,2111,1390,114,26,7,2347
chr10.25,196,49,71,2,2,1612,1031,7,1669,1142,84,19,10,1889
chr10.26,284,53,31,3,3,900,530,10,1721,1324,103,14,3,2060
chr10.27,213,53,62,2,3,1583,921,18,2168,1512,191,37,11,2408
chr10.28,242,60,34,1,3,752,406,13,1478,1119,92,11,11,1744
chr10.29,245,50,48,2,2,1690,924,13,1561,1200,116,18,3,1884
chr10.30,205,63,24,0,2,458,292,17,1487,1146,118,17,8,1729
chr10.31,241,56,47,0,5,1080,633,5,1666,1151,103,22,4,1839
chr10.32,181,57,30,0,9,849,480,12,1744,1427,112,23,7,2156
chr10.34,230,50,32,0,4,974,641,9,1756,1310,93,18,5,2081
chr10.35,200,59,37,4,5,957,543,8,1478,1143,91,18,10,1772
chr10.36,212,65,26,2,4,552,348,4,1388,1009,89,14,5,1593
chr10.37,259,71,85,4,6,2074,1274,36,2711,1799,247,46,9,2871
chr10.41,232,66,52,4,2,1078,595,8,1323,970,85,17,13,1505
chr10.42,236,46,83,7,6,2168,1331,17,1866,1315,135,23,5,2157
chr10.51,372,72,51,2,3,1197,615,21,2302,1610,208,30,7,2775
chr10.52,342,59,85,3,9,2633,1530,15,2006,1468,132,18,7,2441
chr10.53,415,73,77,3,12,2304,1262,44,2612,1811,233,54,5,3039
chr10.55,448,66,75,0,2,1822,1016,43,3503,2256,323,57,10,3737
chr10.56,381,61,50,2,7,998,528,31,3071,2112,267,69,11,3377
chr10.57,227,44,39,2,3,1199,809,12,1776,1273,97,22,1,2157
chr10.58,202,49,28,0,1,853,457,24,1997,1334,110,17,8,2306
chr10.59,211,71,48,1,5,1713,865,7,1288,1027,67,5,5,1627
chr10.60,194,74,24,0,2,1153,432,10,1738,1299,88,18,6,2137
chr10.61,206,69,22,3,1,785,323,15,1551,1162,77,9,10,1919
chr10.62,249,73,13,0,3,454,224,7,1739,1276,125,22,10,2006
chr10.63,236,49,29,3,1,1118,628,18,1661,1247,115,26,12,2044
chr10.64,260,65,60,3,5,1589,840,25,2353,1723,179,31,12,2818
chr10.65,271,68,61,2,5,1611,868,27,2242,1623,157,31,7,2729
chr10.69,214,62,26,0,3,768,379,3,1094,887,72,9,5,1344
chr10.70,224,53,26,1,2,870,373,6,1246,876,73,14,4,1414
chr10.71,182,73,33,2,3,580,298,5,912,755,60,11,9,1108
chr10.74,198,71,17,1,6,475,237,7,1204,900,81,5,11,1417
chr10.75,179,69,22,3,2,376,175,14,1923,1229,109,17,7,2229
chr10.76,208,43,34,2,2,654,321,13,1933,1347,110,35,6,2256
chr10.77,216,52,25,1,0,665,335,6,1254,900,74,9,9,1484
chr10.78,216,59,21,1,2,630,317,7,1203,837,70,12,9,1369
chr10.80,280,66,61,2,1,1772,856,23,2216,1510,160,16,4,2539
chr10.81,210,53,71,2,5,2117,955,47,3408,2026,288,59,7,3444
chr10.82,299,54,103,6,5,2789,1389,29,3122,1911,270,44,7,3273
chr10.83,263,57,69,2,4,1962,985,13,1621,1239,100,19,5,1992
chr10.84,321,56,69,1,4,1112,556,32,2118,1435,176,24,13,2404
chr10.85,262,54,62,4,6,750,444,10,1702,1235,108,19,4,1901
chr10.87,195,64,18,0,0,441,237,4,1416,1125,66,9,6,1807
chr10.88,209,66,25,4,3,646,304,3,1452,1126,64,6,4,1841
chr10.89,230,63,47,2,7,1916,1040,17,1924,1354,127,34,4,2229
chr10.90,227,57,31,3,4,1048,587,18,2203,1436,136,23,9,2468
chr10.92,184,56,19,1,0,500,282,3,1243,977,50,11,10,1523
chr10.93,220,50,30,1,3,754,346,3,1174,998,48,9,8,1548
chr10.95,178,53,29,0,3,711,379,2,1261,1034,51,14,3,1612
chr10.96,182,57,26,1,3,557,279,4,1073,853,69,10,9,1292
chr10.97,223,53,22,2,1,472,246,7,1210,868,77,9,7,1375
chr10.100,198,63,22,2,4,662,340,3,1186,873,75,7,4,1348
chr10.101,195,69,22,1,4,377,215,3,937,698,55,5,8,1099
chr10.103,214,57,22,3,2,634,368,3,1075,906,50,4,17,1383
chr10.104,282,50,83,4,2,2525,1432,26,2292,1504,206,46,9,2501
chr10.105,350,83,106,7,5,2713,1541,24,2915,1857,256,77,9,3122
chr10.106,268,63,37,2,2,520,276,28,2693,1789,234,50,10,2935
chr10.107,293,58,49,2,5,1474,907,23,2276,1609,167,28,11,2782
chr10.108,299,62,70,3,3,1492,876,21,2398,1648,201,36,9,2731
chr10.109,197,58,34,1,5,694,345,7,1209,1039,64,13,6,1564
chr10.110,245,56,33,2,2,761,398,5,1410,1150,81,9,6,1792
chr10.111,272,74,41,4,5,929,503,12,1510,1161,99,14,8,1883
chr10.112,214,62,34,1,1,493,255,7,1190,975,64,5,9,1502
chr10.113,211,68,36,2,3,721,364,4,1152,933,41,9,4,1461
chr10.114,214,61,22,0,5,807,386,4,1448,1185,72,18,5,1867
chr10.115,269,63,26,2,5,1158,537,13,2312,1636,163,30,8,2647
chr10.116,203,68,36,1,2,737,350,6,1600,1139,89,15,4,1832
chr10.117,190,60,48,3,4,842,381,6,1853,1359,90,19,6,2206
chr10.118,203,58,28,3,2,609,319,8,1111,957,80,11,9,1411
chr10.119,230,45,23,4,1,775,396,5,1617,1130,95,14,8,1847
chr10.120,217,76,70,2,4,1552,942,6,1759,1255,92,19,10,2046
chr10.121,171,60,48,1,8,794,401,3,939,783,50,9,5,1165
chr10.122,179,58,46,2,5,1309,867,9,1499,1108,105,17,4,1715
chr10.123,240,57,33,2,5,1116,699,7,1550,958,118,14,8,1595
chr10.124,209,67,23,4,1,431,268,5,1413,962,53,19,9,1628
chr10.125,226,52,19,2,3,417,262,9,1717,1224,95,20,9,1973
chr10.127,236,56,64,4,9,1792,995,10,1601,1173,96,20,13,1896
chr10.128,300,69,110,11,15,2510,1371,19,2306,1518,208,35,13,2413
chr10.129,235,58,71,6,7,1317,742,12,1627,1157,157,28,10,1714
chr10.130,348,74,90,9,8,1486,823,33,2327,1534,297,46,12,2207
chr10.132,217,74,34,1,1,734,375,10,921,618,97,11,6,976
chr11.3,277,65,29,0,0,689,627,0,940,626,67,11,9,1003
chr11.6,231,62,83,1,6,2130,1619,15,2368,1628,167,25,7,2637
chr11.7,194,65,22,1,3,832,685,9,1399,1098,77,14,5,1637
chr11.8,214,46,53,2,5,1404,1105,19,1872,1312,134,22,1,2155
chr11.9,216,59,31,1,4,787,632,4,1462,973,114,16,10,1593
chr11.11,190,63,19,0,10,546,387,2,1339,1090,86,12,5,1689
chr11.12,231,65,32,1,2,568,401,8,1367,1005,85,12,5,1635
chr11.13,205,56,31,1,2,375,341,1,1063,869,45,9,4,1327
chr11.14,200,47,33,1,0,747,597,2,1483,1141,82,12,3,1825
chr11.16,231,55,30,0,8,731,544,10,1764,1303,98,19,9,2067
chr11.17,214,59,29,3,4,468,310,14,1685,1227,82,14,12,2061
chr11.18,230,56,29,1,3,848,565,0,1114,877,70,8,8,1314
chr11.20,250,53,49,2,3,784,540,6,1409,1088,62,8,8,1804
chr11.21,279,71,59,1,5,1177,1045,12,1731,1238,126,20,9,1998
chr11.22,313,42,65,0,3,1202,922,28,2970,1924,236,56,5,3188
chr11.23,286,67,58,0,5,1485,1074,13,2521,1616,164,37,11,2748
chr11.24,375,72,103,2,4,1099,910,20,2077,1558,141,25,7,2585
chr11.25,340,73,99,4,4,1608,1402,14,2482,1909,209,44,11,3013
chr11.26,306,63,103,2,7,1823,1691,14,3123,2086,245,57,6,3438
chr11.27,247,50,42,2,6,958,780,17,2232,1679,181,32,9,2666
chr11.28,237,63,62,2,7,850,727,7,1484,1169,81,13,9,1872
chr11.29,227,48,70,0,5,1239,1059,15,1954,1515,156,26,4,2332
chr11.30,381,73,61,1,6,962,823,23,3146,1957,261,59,8,3423
chr11.31,257,51,48,2,4,1130,899,25,2746,1767,218,53,9,2985
chr11.32,236,49,57,1,4,1157,837,14,1949,1391,133,20,13,2242
chr11.33,197,58,39,2,3,1084,775,7,1719,1346,105,19,7,2081
chr11.34,228,51,22,0,4,389,335,4,1409,1105,70,12,8,1730
chr11.35,246,72,25,0,1,480,446,2,1081,850,65,7,8,1341
chr11.36,239,56,22,0,2,481,453,6,1438,1058,79,11,5,1748
chr11.37,225,46,48,0,4,985,797,7,1293,1087,104,17,8,1609
chr11.38,459,83,135,2,15,2125,1967,18,2785,1834,265,53,4,2890
chr11.39,514,92,115,2,5,2096,1858,20,3444,2027,324,72,8,3353
chr11.40,384,73,148,7,6,2839,2322,20,3307,2351,323,63,15,3439
chr11.41,267,83,155,5,8,2789,2471,21,3564,2349,367,64,16,3524
chr11.42,326,70,77,3,8,1980,1731,29,3454,2214,294,73,11,3596
chr11.43,473,61,133,3,4,2137,1776,18,3090,1932,291,56,11,3195
chr11.44,261,72,43,0,4,1062,846,8,1740,1269,120,26,9,2013
chr11.45,202,72,32,0,2,608,426,5,1370,1011,95,17,5,1522
chr11.46,259,62,42,1,2,779,610,4,1268,1022,79,14,8,1516
chr11.47,203,60,31,2,5,364,316,5,865,748,50,4,8,1101
chr11.53,348,77,66,9,2,2190,1528,14,2244,1753,164,41,8,2732
chr11.54,275,64,38,23,2,1245,832,4,1210,912,87,13,9,1403
chr11.55,218,58,68,36,5,1379,907,9,1606,1229,84,15,8,2003
chr11.56,236,51,64,15,11,1025,590,4,1416,1196,66,10,9,1789
chr11.57,267,61,53,0,1,1147,617,5,1638,1273,83,12,8,2023
chr11.61,206,71,31,0,0,675,495,2,693,546,74,7,6,780
chr11.62,241,67,33,0,1,494,364,3,716,588,63,1,17,847
chr11.69,205,50,103,11,7,721,411,8,949,854,58,11,7,1223
chr11.70,213,59,100,24,2,460,330,1,890,770,43,4,9,1113
chr11.71,179,64,117,13,4,505,334,4,970,803,56,9,9,1199
chr11.72,229,66,93,17,2,555,423,5,974,797,52,5,3,1213
chr11.73,231,66,152,25,8,602,415,3,974,803,43,12,3,1227
chr11.74,179,55,100,26,2,573,415,2,977,787,42,6,8,1208
chr11.75,194,56,130,21,14,724,469,2,1147,920,74,16,4,1395
chr11.76,220,55,165,21,4,1821,1227,14,2304,1600,168,46,6,2639
chr11.77,243,56,250,18,28,3417,2262,16,2295,1680,173,26,7,2772
chr11.78,333,72,196,17,8,3067,2065,19,2636,1826,209,35,7,3035
chr11.79,250,65,170,7,4,2170,1678,19,2284,1622,221,36,13,2606
chr11.80,214,55,62,1,8,653,535,9,1895,1324,118,25,8,2255
chr11.82,202,55,62,11,2,1556,1001,8,1702,1287,63,19,9,2144
chr11.83,196,57,37,13,1,485,327,4,1287,1033,56,9,9,1593
chr11.84,202,60,33,13,2,562,419,7,1769,1283,98,18,7,2155
chr11.88,410,102,92,3,6,2549,1937,20,2635,1912,257,63,20,2993
chr11.89,332,78,71,2,4,1689,1443,21,2280,1554,172,47,4,2535
chr11.90,223,51,77,6,1,1060,729,7,1523,1191,69,12,6,1868
chr11.91,189,57,43,32,7,850,591,5,1625,1195,88,16,7,1892
chr11.92,170,60,15,12,3,434,279,9,1630,1238,74,17,8,2008
chr11.94,376,68,127,20,3,2272,1728,14,2723,1930,216,52,13,3056
chr11.95,428,55,129,1,1,1939,1500,22,3801,2449,370,68,17,3884
chr11.96,391,64,139,0,2,2372,2036,23,3732,2447,322,72,14,3898
chr11.97,249,54,88,2,3,1985,1553,19,2468,1612,211,39,9,2745
chr11.98,272,61,103,3,0,1679,1247,9,1921,1372,127,21,5,2274
chr11.99,226,64,68,1,1,629,463,4,1376,1042,60,8,10,1729
chr11.100,221,42,54,1,2,935,647,7,1946,1406,116,40,10,2292
chr11.101,292,57,78,1,5,994,623,22,2572,1853,240,61,9,2885
chr11.102,270,66,65,2,2,810,575,10,2019,1512,118,25,8,2367
chr11.103,297,52,90,1,2,1223,1047,25,2610,1799,205,49,5,2823
chr11.104,277,67,70,1,1,1263,1077,18,2103,1461,155,28,10,2335
chr11.106,255,49,38,1,1,466,375,19,2262,1487,143,44,10,2542
chr11.107,218,55,32,0,2,353,302,10,1968,1364,107,26,7,2331
chr11.108,216,61,34,1,0,611,448,5,1720,1284,82,18,7,2097
chr11.109,186,60,26,0,1,494,452,6,1361,1001,77,17,6,1643
chr11.110,275,66,42,0,0,838,731,9,1711,1251,100,25,13,1925
chr11.111,230,58,51,1,2,882,703,7,1344,1193,78,14,3,1752
chr11.112,262,51,66,2,3,1021,821,6,1921,1424,131,24,8,2192
chr11.113,211,68,37,2,2,1117,856,6,1644,1201,105,25,6,1830
chr11.114,167,50,29,0,1,563,399,6,1086,907,69,12,9,1319
chr11.115,220,69,29,0,2,588,418,4,1025,797,55,11,8,1225
chr11.116,197,65,44,0,4,589,463,0,1081,766,62,8,7,1180
chr11.117,245,54,33,0,9,826,650,5,1234,954,71,9,8,1432
chr11.118,239,57,61,0,1,1051,857,6,1456,1063,72,11,9,1644
chr11.119,256,60,51,1,3,1329,931,16,2364,1508,175,32,13,2461
chr11.120,250,59,38,1,1,797,608,7,1716,1227,118,22,6,1916
chr11.121,310,55,57,0,0,1813,1376,14,1728,1562,114,25,10,2297
chr11.122,237,67,20,1,1,441,319,13,1424,1134,105,12,9,1719
chr11.123,214,66,32,1,1,501,393,6,1395,996,91,9,5,1600
