"","chr"
"762","chr17.12"
"763","chr17.13"
"764","chr17.14"
"765","chr17.15"
"766","chr17.18"
"767","chr17.24"
"768","chr17.25"
"769","chr17.29"
"770","chr17.30"
"771","chr17.31"
"772","chr17.33"
"773","chr17.36"
"774","chr17.37"
"775","chr17.44"
"776","chr17.45"
"777","chr17.46"
"778","chr17.47"
"779","chr17.48"
"780","chr17.49"
"781","chr17.50"
"782","chr17.51"
"783","chr17.52"
"784","chr17.53"
"785","chr17.54"
"786","chr17.57"
"787","chr17.59"
"788","chr17.61"
"789","chr17.62"
"790","chr17.64"
"791","chr17.65"
"792","chr17.66"
"793","chr17.67"
"794","chr17.68"
"795","chr17.69"
"796","chr17.70"
"797","chr17.73"
"798","chr17.74"
"799","chr17.76"
"800","chr18.2"
"801","chr18.3"
"802","chr18.4"
"803","chr18.5"
"804","chr18.6"
"805","chr18.7"
"806","chr18.8"
"807","chr18.9"
"808","chr18.10"
"809","chr18.11"
"810","chr18.12"
"811","chr18.14"
"812","chr18.17"
"813","chr18.18"
"814","chr18.19"
"815","chr18.20"
"816","chr18.21"
"817","chr18.22"
"818","chr18.23"
"819","chr18.24"
"820","chr18.25"
"821","chr18.26"
"822","chr18.27"
"823","chr18.28"
"824","chr18.29"
"825","chr18.30"
"826","chr18.31"
"827","chr18.32"
"828","chr18.33"
"829","chr18.34"
"830","chr18.35"
"831","chr18.36"
"832","chr18.37"
"833","chr18.38"
"834","chr18.39"
"835","chr18.40"
"836","chr18.41"
"837","chr18.42"
"838","chr18.43"
"839","chr18.44"
"840","chr18.45"
"841","chr18.46"
"842","chr18.47"
"843","chr18.48"
"844","chr18.50"
"845","chr18.51"
"846","chr18.52"
"847","chr18.53"
"848","chr18.54"
"849","chr18.55"
"850","chr18.56"
"851","chr18.57"
"852","chr18.58"
"853","chr18.59"
"854","chr18.60"
"855","chr18.61"
"856","chr18.62"
"857","chr18.63"
"858","chr18.64"
"859","chr18.65"
"860","chr18.66"
"861","chr18.67"
"862","chr18.68"
"863","chr18.69"
"864","chr18.70"
"865","chr18.71"
"866","chr18.72"
"867","chr18.73"
"868","chr18.74"
"869","chr19.26"
"870","chr19.27"
"871","chr19.28"
"872","chr19.29"
"873","chr19.31"
"874","chr19.32"
"875","chr19.39"
"876","chr19.48"
"877","chr19.49"
"878","chr19.54"
"879","chr2.2"
"880","chr2.3"
"881","chr2.5"
"882","chr2.7"
"883","chr2.8"
"884","chr2.9"
"885","chr2.10"
"886","chr2.11"
"887","chr2.12"
"888","chr2.13"
"889","chr2.14"
"890","chr2.15"
"891","chr2.16"
"892","chr2.18"
"893","chr2.19"
"894","chr2.20"
"895","chr2.21"
"896","chr2.22"
"897","chr2.23"
"898","chr2.24"
"899","chr2.25"
"900","chr2.26"
"901","chr2.27"
"902","chr2.28"
"903","chr2.29"
"904","chr2.30"
"905","chr2.31"
"906","chr2.32"
"907","chr2.34"
"908","chr2.35"
"909","chr2.36"
"910","chr2.37"
"911","chr2.38"
"912","chr2.39"
"913","chr2.40"
"914","chr2.41"
"915","chr2.42"
"916","chr2.43"
"917","chr2.44"
"918","chr2.45"
"919","chr2.46"
"920","chr2.47"
"921","chr2.48"
"922","chr2.49"
"923","chr2.50"
"924","chr2.51"
"925","chr2.52"
"926","chr2.53"
"927","chr2.54"
"928","chr2.55"
"929","chr2.56"
"930","chr2.57"
"931","chr2.58"
"932","chr2.59"
"933","chr2.60"
"934","chr2.61"
"935","chr2.62"
"936","chr2.63"
"937","chr2.64"
"938","chr2.65"
"939","chr2.66"
"940","chr2.67"
"941","chr2.68"
"942","chr2.69"
"943","chr2.70"
"944","chr2.71"
"945","chr2.72"
"946","chr2.73"
"947","chr2.74"
"948","chr2.75"
"949","chr2.76"
"950","chr2.77"
"951","chr2.78"
"952","chr2.79"
"953","chr2.80"
"954","chr2.81"
"955","chr2.82"
"956","chr2.83"
"957","chr2.84"
"958","chr2.85"
"959","chr2.86"
"960","chr2.87"
"961","chr2.96"
"962","chr2.97"
"963","chr2.98"
"964","chr2.99"
"965","chr2.100"
"966","chr2.101"
"967","chr2.102"
"968","chr2.103"
"969","chr2.105"
"970","chr2.114"
"971","chr2.115"
"972","chr2.116"
"973","chr2.117"
"974","chr2.118"
"975","chr2.119"
"976","chr2.120"
"977","chr2.121"
"978","chr2.122"
"979","chr2.123"
"980","chr2.124"
"981","chr2.125"
"982","chr2.126"
"983","chr2.127"
"984","chr2.131"
"985","chr2.132"
"986","chr2.134"
"987","chr2.135"
"988","chr2.136"
"989","chr2.137"
"990","chr2.138"
"991","chr2.140"
"992","chr2.141"
"993","chr2.142"
"994","chr2.143"
"995","chr2.144"
"996","chr2.145"
"997","chr2.146"
"998","chr2.148"
"999","chr2.149"
"1000","chr2.151"
"1001","chr2.152"
"1002","chr2.153"
"1003","chr2.154"
"1004","chr2.155"
"1005","chr2.156"
"1006","chr2.157"
"1007","chr2.158"
"1008","chr2.159"
"1009","chr2.160"
"1010","chr2.161"
"1011","chr2.162"
"1012","chr2.163"
"1013","chr2.164"
"1014","chr2.165"
"1015","chr2.166"
"1016","chr2.167"
"1017","chr2.168"
"1018","chr2.169"
"1019","chr2.170"
"1020","chr2.171"
"1021","chr2.172"
"1022","chr2.173"
"1023","chr2.174"
"1024","chr2.175"
"1025","chr2.176"
"1026","chr2.177"
"1027","chr2.178"
"1028","chr2.179"
"1029","chr2.180"
"1030","chr2.181"
"1031","chr2.182"
"1032","chr2.183"
"1033","chr2.184"
"1034","chr2.185"
"1035","chr2.186"
"1036","chr2.187"
"1037","chr2.188"
"1038","chr2.189"
"1039","chr2.190"
"1040","chr2.191"
"1041","chr2.192"
"1042","chr2.193"
"1043","chr2.194"
"1044","chr2.195"
"1045","chr2.196"
"1046","chr2.197"
"1047","chr2.198"
"1048","chr2.200"
"1049","chr2.202"
"1050","chr2.203"
"1051","chr2.204"
"1052","chr2.205"
"1053","chr2.206"
"1054","chr2.208"
"1055","chr2.209"
"1056","chr2.211"
"1057","chr2.213"
"1058","chr2.214"
"1059","chr2.215"
"1060","chr2.216"
"1061","chr2.217"
"1062","chr2.218"
"1063","chr2.219"
"1064","chr2.220"
"1065","chr2.221"
"1066","chr2.222"
"1067","chr2.223"
"1068","chr2.224"
"1069","chr2.225"
"1070","chr2.226"
"1071","chr2.227"
"1072","chr2.228"
"1073","chr2.229"
"1074","chr2.232"
"1075","chr2.233"
"1076","chr2.234"
"1077","chr2.235"
"1078","chr2.236"
"1079","chr2.237"
"1080","chr2.238"
"1081","chr2.239"
"1082","chr20.2"
"1083","chr20.3"
"1084","chr20.5"
"1085","chr20.6"
"1086","chr20.7"
"1087","chr20.8"
"1088","chr20.9"
"1089","chr20.10"
"1090","chr20.11"
"1091","chr20.12"
"1092","chr20.13"
"1093","chr20.14"
"1094","chr20.17"
"1095","chr20.18"
"1096","chr20.19"
"1097","chr20.20"
"1098","chr20.21"
"1099","chr20.22"
"1100","chr20.23"
"1101","chr20.24"
"1102","chr20.25"
"1103","chr20.28"
"1104","chr20.29"
"1105","chr20.33"
"1106","chr20.34"
"1107","chr20.35"
"1108","chr20.36"
"1109","chr20.37"
"1110","chr20.38"
"1111","chr20.39"
"1112","chr20.40"
"1113","chr20.41"
"1114","chr20.42"
"1115","chr20.43"
"1116","chr20.44"
"1117","chr20.45"
"1118","chr20.46"
"1119","chr20.47"
"1120","chr20.48"
"1121","chr20.49"
"1122","chr20.50"
"1123","chr20.51"
"1124","chr20.52"
"1125","chr20.53"
"1126","chr20.54"
"1127","chr20.55"
"1128","chr20.56"
"1129","chr20.57"
"1130","chr20.59"
"1131","chr21.14"
"1132","chr21.15"
"1133","chr21.17"
"1134","chr21.18"
"1135","chr21.19"
"1136","chr21.20"
"1137","chr21.21"
"1138","chr21.22"
"1139","chr21.23"
"1140","chr21.24"
"1141","chr21.25"
"1142","chr21.26"
"1143","chr21.27"
"1144","chr21.28"
"1145","chr21.29"
"1146","chr21.30"
"1147","chr21.31"
"1148","chr21.32"
"1149","chr21.33"
"1150","chr21.35"
"1151","chr21.36"
"1152","chr21.37"
"1153","chr21.38"
"1154","chr21.39"
"1155","chr21.41"
"1156","chr21.43"
"1157","chr21.44"
"1158","chr22.16"
"1159","chr22.20"
"1160","chr22.23"
"1161","chr22.24"
"1162","chr22.25"
"1163","chr22.27"
"1164","chr22.30"
"1165","chr22.31"
"1166","chr22.32"
"1167","chr22.33"
"1168","chr22.34"
"1169","chr22.36"
"1170","chr22.37"
"1171","chr22.40"
"1172","chr22.41"
"1173","chr22.42"
"1174","chr22.43"
"1175","chr22.44"
"1176","chr22.45"
"1177","chr22.46"
"1178","chr3.2"
"1179","chr3.3"
"1180","chr3.4"
"1181","chr3.5"
"1182","chr3.6"
"1183","chr3.7"
"1184","chr3.8"
"1185","chr3.9"
"1186","chr3.10"
"1187","chr3.11"
"1188","chr3.12"
"1189","chr3.13"
"1190","chr3.14"
"1191","chr3.15"
"1192","chr3.16"
"1193","chr3.17"
"1194","chr3.18"
"1195","chr3.19"
"1196","chr3.20"
"1197","chr3.21"
"1198","chr3.22"
"1199","chr3.23"
"1200","chr3.24"
"1201","chr3.25"
"1202","chr3.26"
"1203","chr3.28"
"1204","chr3.29"
"1205","chr3.30"
"1206","chr3.31"
"1207","chr3.32"
"1208","chr3.33"
"1209","chr3.34"
"1210","chr3.35"
"1211","chr3.36"
"1212","chr3.37"
"1213","chr3.38"
"1214","chr3.39"
"1215","chr3.40"
"1216","chr3.41"
"1217","chr3.42"
"1218","chr3.43"
"1219","chr3.44"
"1220","chr3.45"
"1221","chr3.46"
"1222","chr3.47"
"1223","chr3.51"
"1224","chr3.53"
"1225","chr3.54"
"1226","chr3.55"
"1227","chr3.56"
"1228","chr3.57"
"1229","chr3.60"
"1230","chr3.62"
"1231","chr3.63"
"1232","chr3.64"
"1233","chr3.65"
"1234","chr3.66"
"1235","chr3.68"
"1236","chr3.69"
"1237","chr3.70"
"1238","chr3.71"
"1239","chr3.72"
"1240","chr3.73"
"1241","chr3.74"
"1242","chr3.75"
"1243","chr3.78"
"1244","chr3.79"
"1245","chr3.80"
"1246","chr3.81"
"1247","chr3.82"
"1248","chr3.83"
"1249","chr3.84"
"1250","chr3.85"
"1251","chr3.87"
"1252","chr3.88"
"1253","chr3.89"
"1254","chr3.90"
"1255","chr3.91"
"1256","chr3.92"
"1257","chr3.93"
"1258","chr3.94"
"1259","chr3.95"
"1260","chr3.96"
"1261","chr3.97"
"1262","chr3.98"
"1263","chr3.99"
"1264","chr3.100"
"1265","chr3.101"
"1266","chr3.102"
"1267","chr3.103"
"1268","chr3.104"
"1269","chr3.105"
"1270","chr3.107"
"1271","chr3.108"
"1272","chr3.109"
"1273","chr3.110"
"1274","chr3.111"
"1275","chr3.112"
"1276","chr3.113"
"1277","chr3.115"
"1278","chr3.116"
"1279","chr3.117"
"1280","chr3.119"
"1281","chr3.120"
"1282","chr3.121"
"1283","chr3.122"
"1284","chr3.124"
"1285","chr3.125"
"1286","chr3.126"
"1287","chr3.128"
"1288","chr3.129"
"1289","chr3.131"
"1290","chr3.132"
"1291","chr3.135"
"1292","chr3.136"
"1293","chr3.137"
"1294","chr3.138"
"1295","chr3.139"
"1296","chr3.140"
"1297","chr3.141"
"1298","chr3.142"
"1299","chr3.143"
"1300","chr3.144"
"1301","chr3.145"
"1302","chr3.146"
"1303","chr3.147"
"1304","chr3.148"
"1305","chr3.149"
"1306","chr3.150"
"1307","chr3.151"
"1308","chr3.152"
"1309","chr3.153"
"1310","chr3.154"
"1311","chr3.156"
"1312","chr3.157"
"1313","chr3.158"
"1314","chr3.159"
"1315","chr3.160"
"1316","chr3.161"
"1317","chr3.162"
"1318","chr3.163"
"1319","chr3.164"
"1320","chr3.165"
"1321","chr3.166"
"1322","chr3.167"
"1323","chr3.168"
"1324","chr3.169"
"1325","chr3.170"
"1326","chr3.171"
"1327","chr3.173"
"1328","chr3.174"
"1329","chr3.175"
"1330","chr3.176"
"1331","chr3.177"
"1332","chr3.178"
"1333","chr3.179"
"1334","chr3.180"
"1335","chr3.181"
"1336","chr3.182"
"1337","chr3.183"
"1338","chr3.184"
"1339","chr3.185"
"1340","chr3.186"
"1341","chr3.187"
"1342","chr3.188"
"1343","chr3.189"
"1344","chr3.190"
"1345","chr3.191"
"1346","chr4.3"
"1347","chr4.6"
"1348","chr4.7"
"1349","chr4.8"
"1350","chr4.11"
"1351","chr4.12"
"1352","chr4.13"
"1353","chr4.14"
"1354","chr4.15"
"1355","chr4.16"
"1356","chr4.17"
"1357","chr4.18"
"1358","chr4.19"
"1359","chr4.20"
"1360","chr4.21"
"1361","chr4.22"
"1362","chr4.23"
