,MSKCCNo7
chr2.166,63
chr2.167,62
chr2.168,62
chr2.169,61
chr2.170,77
chr2.171,50
chr2.172,51
chr2.173,53
chr2.174,71
chr2.175,48
chr2.176,64
chr2.177,54
chr2.178,51
chr2.179,51
chr2.180,74
chr2.181,64
chr2.182,51
chr2.183,87
chr2.184,68
chr2.185,63
chr2.186,69
chr2.187,60
chr2.188,64
chr2.189,49
chr2.190,61
chr2.191,72
chr2.192,84
chr2.193,63
chr2.194,62
chr2.195,64
chr2.196,65
chr2.197,74
chr2.198,52
chr2.200,79
chr2.202,56
chr2.203,60
chr2.204,61
chr2.205,45
chr2.206,57
chr2.208,52
chr2.209,55
chr2.211,61
chr2.213,60
chr2.214,53
chr2.215,37
chr2.216,62
chr2.217,69
chr2.218,58
chr2.219,56
chr2.220,35
chr2.221,75
chr2.222,52
chr2.223,54
chr2.224,52
chr2.225,54
chr2.226,77
chr2.227,57
chr2.228,59
chr2.229,64
chr2.232,66
chr2.233,47
chr2.234,45
chr2.235,47
chr2.236,64
chr2.237,33
chr2.238,53
chr2.239,42
chr3.2,54
chr3.3,75
chr3.4,68
chr3.5,82
chr3.6,93
chr3.7,62
chr3.8,57
chr3.9,53
chr3.10,65
chr3.11,71
chr3.12,58
chr3.13,51
chr3.14,62
chr3.15,76
chr3.16,79
chr3.17,55
chr3.18,51
chr3.19,58
chr3.20,75
chr3.21,72
chr3.22,75
chr3.23,99
chr3.24,66
chr3.25,79
chr3.26,67
chr3.28,66
chr3.29,83
chr3.30,59
chr3.31,71
chr3.32,37
chr3.33,64
chr3.34,57
chr3.35,56
chr3.36,48
chr3.37,33
chr3.38,39
chr3.39,53
chr3.40,73
chr3.41,79
chr3.42,76
chr3.43,34
chr3.44,71
chr3.45,54
chr3.46,37
chr3.47,71
chr3.51,68
chr3.53,63
chr3.54,49
chr3.55,42
chr3.56,47
chr3.57,50
chr3.60,40
chr3.62,44
chr3.63,40
chr3.64,44
chr3.65,47
chr3.66,49
chr3.68,70
chr3.69,42
chr3.70,64
chr3.71,60
chr3.72,48
chr3.73,33
chr3.74,46
chr3.75,58
chr3.78,42
chr3.79,36
chr3.80,49
chr3.81,58
chr3.82,75
chr3.83,63
chr3.84,66
chr3.85,78
chr3.87,63
chr3.88,105
chr3.89,84
chr3.90,78
chr3.91,109
chr3.92,136
chr3.93,130
chr3.94,89
chr3.95,85
chr3.96,103
chr3.97,67
chr3.98,65
chr3.99,83
chr3.100,85
chr3.101,82
chr3.102,52
chr3.103,73
chr3.104,71
chr3.105,62
chr3.107,74
chr3.108,63
chr3.109,61
chr3.110,65
chr3.111,66
chr3.112,57
chr3.113,72
chr3.115,70
chr3.116,67
chr3.117,46
chr3.119,74
chr3.120,56
chr3.121,55
chr3.122,65
chr3.124,56
chr3.125,59
chr3.126,71
chr3.128,67
chr3.129,80
chr3.131,49
chr3.132,56
chr3.135,85
chr3.136,70
chr3.137,57
chr3.138,60
chr3.139,69
chr3.140,62
chr3.141,35
chr3.142,78
chr3.143,67
chr3.144,94
chr3.145,77
chr3.146,58
chr3.147,69
chr3.148,95
chr3.149,69
chr3.150,109
chr3.151,81
chr3.152,77
chr3.153,59
chr3.154,61
chr3.156,84
chr3.157,41
chr3.158,68
chr3.159,94
chr3.160,109
chr3.161,71
chr3.162,67
chr3.163,71
chr3.164,72
chr3.165,85
chr3.166,63
chr3.167,59
chr3.168,80
chr3.169,60
chr3.170,59
chr3.171,55
chr3.173,60
chr3.174,53
chr3.175,37
chr3.176,62
chr3.177,73
chr3.178,68
chr3.179,56
chr3.180,77
chr3.181,91
chr3.182,77
chr3.183,57
chr3.184,74
chr3.185,66
chr3.186,81
chr3.187,91
chr3.188,58
chr3.189,41
chr3.190,73
chr3.191,50
chr4.3,60
chr4.6,66
chr4.7,46
chr4.8,50
chr4.11,58
chr4.12,57
chr4.13,52
chr4.14,53
chr4.15,42
chr4.16,32
chr4.17,75
chr4.18,53
chr4.19,75
chr4.20,76
chr4.21,54
chr4.22,59
chr4.23,68
chr4.24,50
chr4.25,57
chr4.26,49
chr4.27,45
chr4.28,53
chr4.29,54
chr4.30,67
chr4.31,79
chr4.32,80
chr4.33,66
chr4.34,73
chr4.35,52
chr4.36,72
chr4.37,84
chr4.38,81
chr4.39,65
chr4.42,47
chr4.43,47
chr4.44,56
chr4.45,56
chr4.46,77
chr4.47,68
chr4.48,46
chr4.49,63
chr4.52,72
chr4.53,70
chr4.54,77
chr4.56,63
chr4.58,84
chr4.59,72
chr4.60,68
chr4.61,92
chr4.62,79
chr4.63,80
chr4.64,76
chr4.65,68
chr4.66,76
chr4.68,79
chr4.69,82
chr4.70,79
chr4.71,70
chr4.74,51
chr4.75,66
chr4.76,67
chr4.77,55
chr4.78,54
chr4.79,54
chr4.80,78
chr4.81,49
chr4.82,57
chr4.83,65
chr4.84,52
chr4.85,64
chr4.86,66
chr4.87,47
chr4.88,63
chr4.89,57
chr4.90,54
chr4.92,71
chr4.93,48
chr4.94,51
chr4.95,67
chr4.96,75
chr4.97,75
chr4.98,59
chr4.99,39
chr4.100,53
chr4.102,61
chr4.103,67
chr4.104,101
chr4.105,78
chr4.106,71
chr4.107,73
chr4.108,82
chr4.109,78
chr4.110,62
chr4.111,28
chr4.112,55
chr4.113,55
chr4.114,58
chr4.115,65
chr4.118,63
chr4.119,75
chr4.120,72
chr4.121,57
chr4.122,56
chr4.123,58
chr4.124,71
chr4.125,86
chr4.127,64
chr4.128,53
chr4.129,71
chr4.131,49
chr4.132,66
chr4.133,89
chr4.134,64
chr4.135,44
chr4.136,47
chr4.137,54
chr4.138,37
chr4.139,60
chr4.140,57
chr4.141,59
chr4.144,58
chr4.145,91
chr4.146,72
chr4.147,73
chr4.148,49
chr4.149,43
chr4.150,30
chr4.151,53
chr4.152,66
chr4.153,82
chr4.154,57
chr4.155,45
chr4.156,56
chr4.157,63
chr4.158,88
chr4.159,81
chr4.160,49
chr4.161,74
chr4.162,72
chr4.163,58
chr4.164,65
chr4.165,86
chr4.166,58
chr4.167,52
chr4.168,84
chr4.169,94
chr4.170,71
chr4.171,59
chr4.172,69
chr4.173,60
chr4.174,58
chr4.175,75
chr4.176,103
chr4.177,106
chr4.178,71
chr4.179,51
chr4.180,54
chr4.181,45
chr4.182,40
chr4.183,37
chr4.184,37
chr4.185,44
chr4.187,35
chr5.2,60
chr5.3,49
chr5.4,64
chr5.5,77
chr5.6,76
chr5.7,52
chr5.8,65
chr5.9,75
chr5.10,57
chr5.11,73
chr5.12,53
chr5.13,76
chr5.14,55
chr5.15,42
chr5.16,75
chr5.17,83
chr5.19,76
chr5.20,60
chr5.23,49
chr5.24,54
chr5.25,75
chr5.26,107
chr5.27,67
chr5.28,78
chr5.29,89
chr5.30,64
chr5.31,67
chr5.32,70
chr5.33,81
chr5.34,72
chr5.36,96
chr5.37,61
chr5.39,81
chr5.40,84
chr5.41,82
chr5.42,110
chr5.43,95
chr5.45,88
chr5.46,86
chr5.48,64
chr5.49,83
chr5.50,90
chr5.51,74
chr5.52,66
chr5.53,53
chr5.54,58
chr5.55,62
chr5.57,53
chr5.58,44
chr5.60,81
chr5.61,46
chr5.62,52
chr5.63,37
chr5.64,64
chr5.65,41
chr5.69,42
chr5.70,52
chr5.71,60
chr5.73,78
chr5.74,36
chr5.76,66
chr5.78,39
chr5.79,57
chr5.80,56
chr5.81,87
chr5.82,70
chr5.83,94
chr5.84,93
chr5.85,92
chr5.86,68
chr5.87,58
chr5.88,51
chr5.90,64
chr5.91,45
chr5.92,57
chr5.93,44
chr5.94,75
chr5.95,46
chr5.98,65
chr5.99,48
chr5.100,41
chr5.101,55
chr5.102,47
chr5.103,51
chr5.104,39
chr5.105,41
chr5.106,46
chr5.107,73
chr5.108,60
chr5.109,72
chr5.110,64
chr5.111,91
chr5.112,46
chr5.113,64
chr5.114,73
chr5.115,71
chr5.116,70
chr5.117,70
chr5.118,66
chr5.119,50
chr5.120,56
chr5.121,49
chr5.122,52
chr5.124,47
chr5.125,72
chr5.126,96
chr5.128,80
chr5.129,60
chr5.130,43
chr5.132,40
chr5.133,54
chr5.134,45
chr5.137,52
chr5.138,50
chr5.139,64
chr5.140,40
chr5.141,62
chr5.142,60
chr5.143,56
chr5.144,47
chr5.145,63
chr5.146,50
chr5.147,64
chr5.148,57
chr5.150,69
chr5.151,58
chr5.153,69
chr5.154,55
chr5.155,87
chr5.156,60
chr5.157,75
chr5.158,81
chr5.159,100
chr5.160,73
chr5.161,48
chr5.162,97
chr5.163,102
chr5.164,60
chr5.165,74
chr5.166,67
chr5.167,78
chr5.168,63
chr5.169,75
chr5.170,81
chr5.171,83
chr6.2,81
chr6.3,49
chr6.4,49
chr6.5,68
chr6.6,56
chr6.7,65
chr6.8,55
chr6.9,67
chr6.10,84
chr6.11,69
chr6.12,56
chr6.13,77
chr6.14,60
chr6.15,61
chr6.16,76
chr6.17,63
chr6.18,74
chr6.19,52
chr6.20,56
chr6.21,57
chr6.22,60
chr6.23,41
chr6.24,51
chr6.25,59
chr6.26,50
chr6.28,87
chr6.29,73
chr6.30,103
chr6.31,73
chr6.33,87
chr6.34,65
chr6.35,67
chr6.36,86
chr6.37,66
chr6.38,65
chr6.39,57
chr6.40,45
chr6.41,37
chr6.42,52
chr6.44,63
chr6.45,74
chr6.46,58
chr6.47,59
chr6.48,63
chr6.49,71
chr6.50,81
chr6.51,100
chr6.52,94
chr6.53,55
chr6.54,67
chr6.55,113
chr6.56,97
chr6.57,51
chr6.60,92
chr6.61,75
chr6.63,72
chr6.64,83
chr6.65,79
chr6.66,88
chr6.67,76
chr6.68,73
chr6.69,80
chr6.70,70
chr6.73,83
chr6.74,94
chr6.75,107
chr6.76,95
chr6.77,62
chr6.78,60
chr6.79,52
chr6.80,62
chr6.81,69
chr6.82,80
chr6.85,76
chr6.86,68
chr6.87,57
chr6.88,61
chr6.89,52
chr6.90,71
chr6.91,46
chr6.93,49
chr6.94,69
chr6.95,75
chr6.96,67
chr6.97,74
chr6.98,49
chr6.99,55
chr6.100,76
chr6.101,69
chr6.102,60
chr6.103,59
chr6.104,61
chr6.105,46
chr6.106,50
chr6.107,51
chr6.108,56
chr6.109,36
chr6.110,44
chr6.111,49
chr6.112,79
chr6.113,68
chr6.114,78
chr6.115,88
chr6.116,45
chr6.117,62
chr6.118,68
chr6.119,66
chr6.120,41
chr6.121,46
chr6.122,57
chr6.124,74
chr6.125,48
chr6.126,54
chr6.127,57
chr6.128,63
chr6.129,55
chr6.130,65
chr6.131,56
chr6.132,62
chr6.133,50
chr6.134,52
chr6.135,52
chr6.136,62
chr6.137,65
chr6.138,53
chr6.139,54
chr6.140,66
chr6.141,84
chr6.142,73
chr6.143,69
chr6.144,53
chr6.145,63
chr6.146,52
chr6.147,55
chr6.148,73
chr6.149,76
chr6.150,60
chr6.151,64
chr6.152,65
chr6.153,50
chr6.155,41
chr6.156,69
chr6.157,75
chr6.160,44
chr6.161,50
chr6.162,62
chr6.163,69
chr6.166,35
chr7.2,53
chr7.3,70
chr7.4,48
chr7.8,61
chr7.9,42
chr7.10,71
chr7.11,80
chr7.12,44
chr7.13,55
chr7.14,63
chr7.15,43
chr7.16,49
chr7.17,49
chr7.18,52
chr7.19,69
chr7.20,94
chr7.21,80
chr7.22,62
chr7.23,74
chr7.25,78
chr7.26,72
chr7.27,51
chr7.28,69
chr7.29,39
chr7.30,44
chr7.31,30
chr7.32,66
chr7.34,49
chr7.35,91
chr7.37,51
chr7.38,64
chr7.39,56
chr7.40,61
chr7.41,72
chr7.42,59
chr7.43,96
chr7.44,76
chr7.47,59
chr7.48,59
chr7.49,73
chr7.50,99
chr7.51,55
chr7.52,72
chr7.53,77
chr7.54,76
chr7.55,83
chr7.65,78
chr7.66,89
chr7.67,70
chr7.68,64
chr7.75,44
chr7.77,45
chr7.78,49
chr7.79,34
chr7.80,63
chr7.81,64
chr7.82,75
chr7.83,81
chr7.84,48
chr7.85,53
chr7.86,66
chr7.87,62
chr7.88,59
chr7.90,56
chr7.91,61
chr7.92,41
chr7.93,52
chr7.94,71
chr7.96,59
chr7.101,63
chr7.103,76
chr7.104,65
chr7.105,51
chr7.106,81
chr7.107,83
chr7.108,60
chr7.109,52
chr7.110,71
chr7.111,74
chr7.112,79
chr7.113,79
chr7.114,54
chr7.115,72
chr7.116,59
chr7.117,70
chr7.118,53
chr7.119,76
chr7.120,45
chr7.121,58
chr7.122,60
chr7.123,47
chr7.124,61
chr7.125,50
chr7.127,55
chr7.129,56
chr7.130,43
chr7.131,45
chr7.132,52
chr7.133,69
chr7.134,111
chr7.135,65
chr7.136,72
chr7.139,50
chr7.142,78
chr7.143,82
chr7.148,60
chr7.149,54
chr7.153,75
chr7.154,56
chr7.155,31
chr7.156,66
chr8.2,80
chr8.3,71
chr8.5,76
chr8.6,74
chr8.10,77
chr8.11,42
chr8.14,91
chr8.16,72
chr8.17,73
chr8.18,49
chr8.19,66
chr8.20,91
chr8.21,56
chr8.22,59
chr8.23,64
chr8.24,83
chr8.25,66
chr8.26,63
chr8.27,67
chr8.28,47
chr8.29,49
chr8.30,52
chr8.31,57
chr8.32,49
chr8.33,46
chr8.34,67
chr8.35,60
chr8.36,51
chr8.37,60
chr8.38,73
chr8.39,75
chr8.40,89
chr8.41,71
chr8.42,70
chr8.44,55
chr8.46,73
chr8.47,125
chr8.48,136
chr8.49,113
chr8.50,55
chr8.51,68
chr8.52,88
chr8.53,93
chr8.54,102
chr8.55,76
chr8.56,52
chr8.57,43
chr8.58,48
chr8.59,45
chr8.60,55
chr8.61,69
chr8.62,92
chr8.63,83
chr8.64,57
chr8.65,74
chr8.66,90
chr8.67,76
chr8.68,90
chr8.69,79
chr8.70,48
chr8.71,57
chr8.72,72
chr8.73,98
chr8.74,90
chr8.75,82
chr8.76,63
chr8.77,59
chr8.78,75
chr8.79,61
chr8.80,60
chr8.81,62
chr8.82,62
chr8.84,77
chr8.85,88
chr8.86,62
chr8.87,79
chr8.88,52
chr8.89,65
chr8.90,55
chr8.91,67
chr8.92,62
chr8.93,52
chr8.94,53
chr8.95,74
chr8.96,69
chr8.97,66
chr8.98,55
chr8.99,48
chr8.100,50
chr8.101,50
chr8.102,62
chr8.104,99
chr8.105,108
chr8.106,98
chr8.107,53
chr8.108,83
chr8.109,64
chr8.110,83
chr8.111,83
chr8.112,83
chr8.113,77
chr8.114,71
chr8.115,68
chr8.116,52
chr8.117,88
chr8.118,60
chr8.119,79
chr8.120,89
chr8.121,69
chr8.122,51
chr8.123,61
chr8.124,48
chr8.125,69
chr8.126,65
chr8.127,58
chr8.128,50
chr8.129,96
chr8.130,74
chr8.131,41
chr8.132,46
chr8.133,44
chr8.134,75
chr8.135,72
chr8.136,70
chr8.137,45
chr8.138,63
chr8.140,46
chr8.141,90
chr9.2,85
chr9.3,45
chr9.4,45
chr9.5,57
chr9.6,76
chr9.8,51
chr9.9,34
chr9.11,51
chr9.12,61
chr9.13,56
chr9.14,59
chr9.15,36
chr9.17,70
chr9.18,64
chr9.19,59
chr9.20,72
chr9.21,41
chr9.22,83
chr9.23,84
chr9.24,84
chr9.25,92
chr9.26,91
chr9.27,65
chr9.28,46
chr9.29,56
chr9.30,50
chr9.31,59
chr9.32,58
chr9.33,65
chr9.36,48
chr9.37,62
chr9.38,33
chr9.69,53
chr9.71,78
chr9.72,93
chr9.73,87
chr9.74,109
chr9.75,84
chr9.76,68
chr9.77,67
chr9.78,71
chr9.79,60
chr9.80,68
chr9.81,72
chr9.82,62
chr9.83,54
chr9.85,72
chr9.87,55
chr9.89,56
chr9.91,67
chr9.92,62
chr9.93,68
chr9.95,52
chr9.96,69
chr9.98,71
chr9.99,53
chr9.100,66
chr9.101,76
chr9.102,70
chr9.103,70
chr9.104,65
chr9.105,70
chr9.106,87
chr9.107,77
chr9.108,59
chr9.109,60
chr9.110,90
chr9.111,73
chr9.112,68
chr9.114,49
chr9.115,70
chr9.116,92
chr9.117,64
chr9.118,77
chr9.119,62
chr9.120,48
chr9.121,58
chr9.122,69
chr9.123,72
chr9.124,54
chr9.125,69
chr9.126,54
chr9.127,66
chr9.131,76
chr9.132,51
chr9.133,60
chr9.135,69
chr9.137,69
chr10.2,49
chr10.3,51
chr10.4,64
chr10.5,46
chr10.7,76
chr10.8,63
chr10.9,95
chr10.10,112
chr10.11,90
chr10.12,53
chr10.14,79
chr10.15,44
chr10.16,78
chr10.17,72
chr10.20,67
chr10.21,71
chr10.22,57
chr10.23,71
chr10.24,83
chr10.25,82
chr10.26,66
chr10.27,89
chr10.28,82
chr10.29,76
chr10.30,64
chr10.31,53
chr10.32,64
chr10.34,49
chr10.35,44
chr10.36,70
chr10.37,65
chr10.41,74
chr10.42,97
chr10.51,113
chr10.52,117
chr10.53,111
chr10.55,111
chr10.56,97
chr10.57,86
chr10.58,58
chr10.59,44
chr10.60,41
chr10.61,60
chr10.62,94
chr10.63,58
chr10.64,63
chr10.65,65
chr10.69,56
chr10.70,56
chr10.71,57
chr10.74,68
chr10.75,34
chr10.76,41
chr10.77,43
chr10.78,39
chr10.80,71
chr10.81,77
chr10.82,65
chr10.83,66
chr10.84,65
chr10.85,59
chr10.87,36
chr10.88,40
chr10.89,62
chr10.90,61
chr10.92,64
chr10.93,64
chr10.95,78
chr10.96,40
chr10.97,42
chr10.100,56
chr10.101,66
chr10.103,50
chr10.104,94
chr10.105,85
chr10.106,74
chr10.107,61
chr10.108,75
chr10.109,74
chr10.110,57
chr10.111,71
chr10.112,47
chr10.113,54
chr10.114,76
chr10.115,63
chr10.116,53
chr10.117,56
chr10.118,63
chr10.119,76
chr10.120,50
chr10.121,48
chr10.122,45
chr10.123,60
chr10.124,56
chr10.125,70
chr10.127,57
chr10.128,77
chr10.129,57
chr10.130,51
chr10.132,56
chr11.3,71
chr11.6,85
chr11.7,66
chr11.8,79
chr11.9,56
chr11.11,52
chr11.12,63
chr11.13,33
chr11.14,62
chr11.16,51
chr11.17,69
chr11.18,43
chr11.20,55
chr11.21,49
chr11.22,66
chr11.23,74
chr11.24,57
chr11.25,76
chr11.26,75
chr11.27,71
chr11.28,58
chr11.29,69
chr11.30,56
chr11.31,54
chr11.32,55
chr11.33,79
chr11.34,71
chr11.35,66
chr11.36,48
chr11.37,69
chr11.38,111
chr11.39,89
chr11.40,101
chr11.41,77
chr11.42,75
chr11.43,74
chr11.44,75
chr11.45,64
chr11.46,45
chr11.47,57
chr11.53,133
chr11.54,83
chr11.55,105
chr11.56,86
chr11.57,51
chr11.61,84
chr11.62,75
chr11.69,59
chr11.70,50
chr11.71,81
chr11.72,60
chr11.73,70
chr11.74,69
chr11.75,38
chr11.76,46
chr11.77,79
chr11.78,58
chr11.79,84
chr11.80,62
chr11.82,50
chr11.83,59
chr11.84,67
chr11.88,47
chr11.89,43
chr11.90,41
chr11.91,71
chr11.92,40
chr11.94,88
chr11.95,89
chr11.96,79
chr11.97,77
chr11.98,69
chr11.99,70
chr11.100,56
chr11.101,49
chr11.102,58
chr11.103,65
chr11.104,69
chr11.106,67
chr11.107,56
chr11.108,44
chr11.109,57
chr11.110,31
chr11.111,39
chr11.112,41
chr11.113,62
chr11.114,55
chr11.115,56
chr11.116,38
chr11.117,49
chr11.118,70
chr11.119,79
chr11.120,70
chr11.121,54
chr11.122,41
chr11.123,49
chr11.124,50
chr11.125,46
chr11.126,43
chr11.127,48
chr11.128,55
chr11.129,68
chr11.130,52
chr11.131,47
chr12.2,72
chr12.3,62
chr12.4,65
chr12.5,82
chr12.6,65
chr12.7,67
chr12.11,102
chr12.12,63
chr12.13,65
chr12.14,64
chr12.15,66
chr12.16,48
chr12.17,52
chr12.18,84
chr12.19,70
chr12.20,67
chr12.21,86
chr12.22,80
chr12.23,65
chr12.24,51
chr12.25,58
chr12.26,83
chr12.27,74
chr12.28,77
chr12.29,71
chr12.30,60
chr12.31,64
chr12.34,98
chr12.36,73
chr12.37,89
chr12.38,67
chr12.39,76
chr12.40,93
chr12.41,73
chr12.42,66
chr12.43,78
chr12.44,81
chr12.45,86
chr12.47,81
chr12.49,57
chr12.50,69
chr12.51,68
chr12.55,70
chr12.56,64
chr12.57,78
chr12.58,98
chr12.59,62
chr12.60,71
chr12.62,73
chr12.63,79
chr12.64,77
chr12.65,87
chr12.66,78
chr12.67,71
chr12.68,73
chr12.69,60
chr12.70,75
chr12.71,81
chr12.72,75
chr12.73,54
chr12.74,76
chr12.75,52
chr12.76,61
chr12.77,66
chr12.78,83
chr12.79,74
chr12.80,55
chr12.81,88
chr12.82,70
chr12.83,66
chr12.84,64
chr12.85,81
chr12.86,80
chr12.87,71
chr12.88,69
chr12.89,49
chr12.90,61
chr12.91,53
chr12.92,90
chr12.93,78
chr12.94,57
chr12.95,58
chr12.96,67
chr12.97,60
chr12.98,70
chr12.99,64
chr12.100,55
chr12.101,74
chr12.102,59
chr12.103,69
chr12.104,70
chr12.105,67
chr12.107,62
chr12.108,77
chr12.110,74
chr12.111,46
chr12.112,68
chr12.113,54
chr12.114,76
chr12.115,74
chr12.116,67
chr12.117,54
chr12.121,62
chr12.122,65
chr12.123,71
chr12.124,57
chr12.125,58
chr12.126,104
chr12.127,49
chr12.128,67
chr13.18,61
chr13.19,58
chr13.20,85
chr13.21,50
chr13.23,47
chr13.24,52
chr13.25,39
chr13.26,63
chr13.27,68
chr13.28,55
chr13.29,55
chr13.30,69
chr13.31,51
chr13.32,52
chr13.33,56
chr13.34,58
chr13.35,44
chr13.36,46
chr13.37,45
chr13.39,60
chr13.40,54
chr13.41,50
chr13.42,56
chr13.43,58
chr13.44,65
chr13.45,90
chr13.46,55
chr13.47,63
chr13.48,50
chr13.51,57
chr13.52,63
chr13.53,66
chr13.54,56
chr13.55,54
chr13.56,54
chr13.57,47
chr13.58,73
chr13.59,53
chr13.60,54
chr13.62,51
chr13.63,75
chr13.64,36
chr13.65,73
chr13.66,63
chr13.67,78
chr13.68,59
chr13.69,54
chr13.70,64
chr13.71,55
chr13.72,75
chr13.73,38
chr13.74,49
chr13.75,61
chr13.76,59
chr13.77,72
chr13.78,73
chr13.79,83
chr13.80,63
chr13.81,69
chr13.82,54
chr13.84,55
chr13.85,67
chr13.86,52
chr13.87,59
chr13.88,58
chr13.89,49
chr13.90,54
chr13.92,59
chr13.93,74
chr13.94,65
chr13.95,77
chr13.96,57
chr13.97,62
chr13.98,43
chr13.99,56
chr13.100,54
chr13.101,46
chr13.102,51
chr13.103,75
chr13.104,52
chr13.105,41
chr13.106,56
chr13.107,49
chr13.108,53
chr13.110,53
chr14.18,75
chr14.19,91
chr14.22,78
chr14.23,58
chr14.24,59
chr14.25,58
chr14.26,79
chr14.27,43
chr14.28,56
chr14.29,65
chr14.30,31
chr14.31,71
chr14.33,59
chr14.34,45
chr14.35,63
chr14.37,81
chr14.38,75
chr14.39,64
chr14.40,72
chr14.41,65
chr14.43,98
chr14.44,73
chr14.45,76
chr14.46,66
